用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-003-H-C02,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：权益领取失败】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“活动页面说我没资格，但我明明已经预订了。”。步骤3：核对机器人能结合前序问题识别当前触发条件“权益领取失败”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“权益领取失败”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,权益领取失败,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-003-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,活动页面说我没资格，但我明明已经预订了。,"The event page says I'm not eligible, but I've already pre-ordered.",,,,,,,,,,,
TC-H70-003-H-C03,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：优惠是否可叠加】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“这个优惠能和门店的折扣一起用吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“优惠是否可叠加”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“优惠是否可叠加”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,优惠是否可叠加,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-003-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,这个优惠能和门店的折扣一起用吗？,Can I use this offer together with the store discount?,,,,,,,,,,,
TC-H70-004-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“哪里可以买/提HOT 70 Pro？”。步骤3：核对机器人识别的业务场景是否为“门店信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G已在全国1500多家Infinix门店发售，包括：
? Infinix品牌店（IBO）
? Infinix合作伙伴店（IBP）
? 授权KDM合作伙伴

点击“查找门店”，定位离您最近的Infinix门店！
[https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online)

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,哪里可以买/提HOT 70 Pro？,Where can I buy or pick up the HOT 70 Pro?,,,,,,,,,,,
TC-H70-004-H-C01,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：涉及实时库存】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我现在过去的话，这家店还有现货吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“涉及实时库存”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“涉及实时库存”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,涉及实时库存,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-004-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我现在过去的话，这家店还有现货吗？,"If I go there now, does this store still have it in stock?",,,,,,,,,,,
TC-H70-004-H-C02,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：门店异常】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我选的那家店关门了，订单怎么办？”。步骤3：核对机器人能结合前序问题识别当前触发条件“门店异常”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“门店异常”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店异常,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-004-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我选的那家店关门了，订单怎么办？,The store I selected is closed. What happens to my order?,,,,,,,,,,,
TC-H70-004-H-C03,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：城市未覆盖】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“列表里找不到我这个城市，是不是这里不能买？”。步骤3：核对机器人能结合前序问题识别当前触发条件“城市未覆盖”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“城市未覆盖”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,城市未覆盖,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-004-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,列表里找不到我这个城市，是不是这里不能买？,My city isn't on the list. Does that mean I can't buy it here?,,,,,,,,,,,
TC-H70-004-H-C04,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：具体门店确认】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“Gulshan 那家店可以提货吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“具体门店确认”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“具体门店确认”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,具体门店确认,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-004-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,Gulshan 那家店可以提货吗？,Can I pick it up at the Gulshan store?,,,,,,,,,,,
TC-H70-005-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“这个 WhatsApp 号是正规的吗？”。步骤3：核对机器人识别的业务场景是否为“官方身份说明”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"是的！这是官方的传音Infinix WhatsApp频道。我们是经过授权的传音Infinix服务团队。

? 通过我们渠道销售的所有产品均100%为正品
? 享有完整的制造商保修
? 可在任何传音Infinix服务中心获得售后支持

您可以在我们的网站和社交媒体页面上验证官方渠道。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,这个 WhatsApp 号是正规的吗？,Is this an official WhatsApp account?,,,,,,,,,,,
TC-H70-005-H-C01,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：用户仍不信任或要求人工确认】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“你说是官方的，可这个号码为什么网上查不到？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户仍不信任或要求人工确认”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户仍不信任或要求人工确认”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户仍不信任或要求人工确认,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-005-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,你说是官方的，可这个号码为什么网上查不到？,"You say this is official, but why can't I find this number online?",,,,,,,,,,,
TC-H70-005-H-C02,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：可】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“这个号码看着还是有点可疑，真的安全吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“可”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“可”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,可,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-005-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,这个号码看着还是有点可疑，真的安全吗？,This number still looks a bit suspicious. Is it really safe?,,,,,,,,,,,
TC-H70-006-N,[人工兜底规则] 预订失败了怎么办？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“预订失败了怎么办？”。步骤3：核对机器人识别的业务场景是否为“人工兜底规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“人工兜底规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,此类问题原则上进入人工兜底，并记录原因。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订失败了怎么办？,My pre-order failed. What should I do?,,,,,,,,,,,
TC-H70-007-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT70 Pro 5G有哪些颜色？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，搭载我们独家的水晶焕彩技术——背部在不同光线下会变色！夜潮、幻影绿、深蓝、热橙色。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些颜色？,What colors does the HOT 70 Pro 5G come in?,,,,,,,,,,,
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT70 Pro 支持 5G 吗？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"是的！HOT 70 Pro 5G 支持 5G 连接，可实现超快速浏览、流媒体和游戏体验。尽情享受更高级别的速度吧！

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 支持 5G 吗？,Does the HOT 70 Pro support 5G?,,,,,,,,,,,
TC-H70-009-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G防水吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT70 Pro 5G防水吗？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"是的！HOT 70 Pro 5G 拥有 IP68/IP69 防水防尘等级，能够从容应对雨水、泼溅和多尘环境。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G防水吗？,Is the HOT 70 Pro 5G waterproof?,,,,,,,,,,,
TC-H70-010-N,[活动规则] 预订后下一步做什么？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“预订后下一步做什么？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"成功预订后，您将收到：
? 通过短信发送的取货确认码
? 取货日期前的提醒

取货当天，请携带确认码和有效身份证件前往您选择的门店，领取您的HOT 70 Pro 5G！

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订后下一步做什么？,What happens after I place the pre-order?,,,,,,,,,,,
TC-H70-011-N,[活动权益] 支持分期付款吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“支持分期付款吗？”。步骤3：核对机器人识别的业务场景是否为“活动权益”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"是的！HOT 70 Pro 5G支持分期付款计划，可选0首付起。部分Infinix门店有售。请向店内工作人员咨询符合条件的计划详情！

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,支持分期付款吗？,Can I pay in installments?,,,,,,,,,,,
TC-H70-011-H-C01,[活动权益] 支持分期付款吗？【条件式转人工场景：具体分期方案需门店确认】,步骤1：先执行关联标准用例“TC-H70-011-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“如果分12期，每个月大概要付多少？”。步骤3：核对机器人能结合前序问题识别当前触发条件“具体分期方案需门店确认”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“具体分期方案需门店确认”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,具体分期方案需门店确认,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-011-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,如果分12期，每个月大概要付多少？,"If I pay over 12 months, roughly how much would it be per month?",,,,,,,,,,,
TC-H70-012-N,[提机规则] 提机需要带什么？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“提机需要带什么？”。步骤3：核对机器人识别的业务场景是否为“提机规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"领取您的HOT 70 Pro 5G时，请携带：
1?? 取货确认码（通过短信发送）
2?? 有效的政府签发身份证件

请确保您预订时使用的姓名与身份证件上的姓名一致。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,提机需要带什么？,What do I need to bring when I pick up the phone?,,,,,,,,,,,
