用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,转人工预期,是否存在知识库,执行阶段,是否使用新会话,知识库是否命中,知识库是否命中正确,日志客户标签,客户标签是否准确,日志转人工,转人工是否准确,实际回复内容（英文）,语义是否合理,回复是否准确,服务端真实耗时,接口响应时长,备注
TC-H70-003-H-C02,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：权益领取失败】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“权益领取失败”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“权益领取失败”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,权益领取失败,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：权益领取失败,Could you help me with 权益领取失败?,是,是,P0,否,否,,NA,NA,否,否,Pre-order Exclusive Benefits:🎁 Priority pickup — be among the first to get HOT 70 Pro 5G🎁 Exclusive pre-order gifts (subject to availability)🎁 Chance to win lucky draw prizes🎁 Special in-store promotions during launch weekVisit your nearest Infinix store for full details!,否,否,379,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的优惠信息，没有针对用户关于无法领取优惠的问题提供帮助。
TC-H70-003-H-C03,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：优惠是否可叠加】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“优惠是否可叠加”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“优惠是否可叠加”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,优惠是否可叠加,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：优惠是否可叠加,Could you help me with 优惠是否可叠加?,是,是,P0,否,否,,NA,NA,否,否,Pre-order Exclusive Benefits:🎁 Priority pickup — be among the first to get HOT 70 Pro 5G🎁 Exclusive pre-order gifts (subject to availability)🎁 Chance to win lucky draw prizes🎁 Special in-store promotions during launch weekVisit your nearest Infinix store for full details!,否,否,416,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未针对用户关于折扣叠加的询问给出具体回复，而是重复了之前的宣传信息。
TC-H70-004-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
• Infinix Brand Shops (IBO)
• Infinix Partner Stores (IBP)
• Authorized KDM partners

Tap ""Find a Store"" to locate the nearest Infinix store to you!
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,哪里可以买/提HOT 70 Pro？,Where can I buy/pick up the HOT 70 Pro?,否,是,P0,是,是,,NA,NA,否,是,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",是,是,384,3430,handoff source=trace.handoff_flag; 机器人用英文回答了用户关于购买地点的问题，内容清晰且提供了具体店铺类型和查找链接，语义合理，语言自然。
TC-H70-004-H-C01,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：涉及实时库存】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“涉及实时库存”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“涉及实时库存”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,涉及实时库存,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：涉及实时库存,Could you help me with 涉及实时库存?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,347,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未针对用户关于实时库存的提问给出回应，而是重复了之前的购买地点信息。
TC-H70-004-H-C02,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：门店异常】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“门店异常”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“门店异常”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,门店异常,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：门店异常,Could you help me with 门店异常?,是,是,P0,否,是,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回答，未回应关于店铺异常的新问题。
TC-H70-004-H-C03,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：城市未覆盖】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“城市未覆盖”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“城市未覆盖”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,城市未覆盖,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：城市未覆盖,Could you help me with 城市未覆盖?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,364,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回答，没有针对用户关于未覆盖城市的问题进行回应。
TC-H70-004-H-C04,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：具体门店确认】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“具体门店确认”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“具体门店确认”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,具体门店确认,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：具体门店确认,Could you help me with 具体门店确认?,是,是,P0,否,否,,NA,NA,否,否,"I could not find reliable coverage for this in the knowledge base. Please share the product model, country/region, order, or specific scenario, and I will check again.",否,否,347,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回复，未针对用户关于具体商店确认的新问题做出回应，语义不合理。
TC-H70-005-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

✅ All products sold through our channels are 100% genuine
✅ Full manufacturer warranty applies
✅ After-sales support at any Infinix service center

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,这个 WhatsApp 号是正规的吗？,Is this WhatsApp number legitimate?,否,是,P0,是,是,,NA,NA,否,是,Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.✅ All products sold through our channels are 100% genuine✅ Full manufacturer warranty applies✅ After-sales support at any Infinix service centerYou can verify official channels on our website and social media pages.,是,是,322,3023,handoff source=trace.handoff_flag; 机器人直接确认号码为官方渠道，并列出多个验证点和保证，语义清晰且语言自然。
TC-H70-005-H-C01,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：用户仍不信任】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“用户仍不信任”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“用户仍不信任”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,用户仍不信任,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：用户仍不信任,Could you help me with 用户仍不信任?,是,是,P0,否,否,,NA,NA,否,否,"Yes, this is the official verified WhatsApp account for TECNO / Infinix / itel customer service. You are chatting with an official representative! 

How can I help you today? 😉_",否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; FAQ转人工条件匹配; 机器人重复了之前的回复，未针对用户关于信任问题的请求提供实质性帮助。
TC-H70-005-H-C02,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：要求人工确认】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“要求人工确认”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“要求人工确认”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,要求人工确认,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：要求人工确认,Could you help me with 要求人工确认?,是,是,P0,否,否,,NA,NA,否,否,Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.✅ All products sold through our channels are 100% genuine✅ Full manufacturer warranty applies✅ After-sales support at any Infinix service centerYou can verify official channels on our website and social media pages.,否,否,344,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回复，没有针对用户关于请求人工确认的问题进行回答，导致答非所问。
