actual_intent_tag_norm,actual_intent_tag_raw,actual_intent_tag_source,automation_result,business_result,case_id,case_name,expected_handoff,handoff_check,input_cn,input_en,intent_tag_accuracy,intent_tag_reason,intent_tag_recommended,intent_tag_source,knowledge_hit,notes,outbound_preview,reply_check,response_ms,session_id,status,task_type,trace_detected_intent,trace_handoff_flag,trace_handoff_flag_event_id,trace_intent_event_id,trace_knowledge_hit,trace_knowledge_hit_event_id,trace_latency_event_id,trace_latency_ms,trace_tag_event_id,trace_tag_reason,whatsapp_id,回复是否准确,实际识别的意图标签,意图标签是否准确,知识库是否命中
,,none,PASS,FAIL,TC-H70-004-H-C01,[提机规则] 什么时候可以提机？【条件式转人工场景：user cannot pick up the device at the store】,true,FAIL,我遇到这个情况：user cannot pick up the device at the store,"If I can't pick it up at the store, what are the other options for getting it?",是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,FAIL,7827,agent_f2533aaef8e2430eae42fb1b6223a769,FAIL,TRANSFER_FAILED_AI_FALLBACK,TRANSFER_FAILED_AI_FALLBACK,0,35883,35883,0,35880,35880,7827,,,kb-006001126d@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-004-H-C02,[提机规则] 什么时候可以提机？【条件式转人工场景：voucher is abnormal】,true,FAIL,我遇到这个情况：voucher is abnormal,"My voucher isn't working, so how can I proceed with the pickup?",是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,4828,agent_ab34bc9b67694d2bbb7471b94bd894c7,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,35919,35935,0,35916,35916,4828,,,kb-f82af4d0a2@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-004-H-C03,[提机规则] 什么时候可以提机？【条件式转人工场景：deadline has passed】,true,FAIL,我遇到这个情况：deadline has passed,I missed the pickup deadline; can I still collect it later?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,4428,agent_41e4ce6639e14597bdbf7125452ff761,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,35959,35966,0,35956,35956,4428,,,kb-cd7a7a2f6e@s.whatsapp.net,否,,是,NA
,,none,PASS,PASS,TC-H70-005-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,false,PASS,哪里可以买/提HOT 70 Pro？,Where can I buy/pick up the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
• Infinix Brand Shops (IBO)
• Infinix Partner Stores (IBP)
• Authorized KDM partners
",PASS,2508,agent_3408dc71a6464d72a3c7cccafd4bdd67,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,35985,35997,1,35983,35983,2508,,,kb-895fadc757@s.whatsapp.net,是,,是,是
,,none,PASS,FAIL,TC-H70-005-H-C01,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：real-time inventory】,true,FAIL,我遇到这个情况：real-time inventory,Which stores currently have the HOT 70 Pro in stock?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,You can find stores and check availability for the HOT 50 Pro by visiting: https://www.infinixmobility.com/find-a-store,FAIL,2481,agent_9faaa1042eaa4d1ea249580a98061a7c,FAIL,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,36018,36031,1,36016,36016,2481,,,kb-df838e68a3@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-005-H-C02,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：store anomalies】,true,FAIL,我遇到这个情况：store anomalies,Are there any known inventory issues at the stores near me for the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,4762,agent_0179c0e07026453096c947f07f653b57,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,36066,36080,0,36063,36063,4762,,,kb-cdfaca2563@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-005-H-C03,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：uncovered cities】,true,FAIL,我遇到这个情况：uncovered cities,Can I get the HOT 70 Pro in a city not listed on your store finder?,是,actual_tag_empty_default_match,,empty_default,NA,expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,FAIL,12000,agent_6721bad28e134663927cde6e8ca8e9ed,FAIL,UNKNOWN,,,,,,,,,,,kb-b5cd029946@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-005-H-C04,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：specific store confirmation are involved】,true,FAIL,我遇到这个情况：specific store confirmation are involved,Does the flagship store on Main Street currently stock the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,4820,agent_c6f35a97a019472496b47268ad118549,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,36130,36141,0,36127,36127,4820,,,kb-39a944a0a9@s.whatsapp.net,否,,是,NA
,,none,PASS,PASS,TC-H70-006-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,false,PASS,这个 WhatsApp 号是正规的吗？,Is this WhatsApp number legitimate?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

✅ All products sold through our channels are 100% genuine
✅ Full",PASS,2185,agent_2c991b3a1fd947679c5b8362bba37d41,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,36192,36205,1,36190,36190,2185,,,kb-0a7d0fec4e@s.whatsapp.net,是,,是,是
,,none,PASS,FAIL,TC-H70-007-N,[人工兜底规则] 预订失败了怎么办？【标准问答场景】,true,FAIL,预订失败了怎么办？,What should I do if the booking fails?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,I didn't quite understand that. Could you send it again?,FAIL,10348,agent_b560cae8182240168dac76f9d098989a,FAIL,AGENT_REPLY,SEND_FAILED_AI_RESPONSE_AGENT_REPLY,0,36226,36239,,,,,,,kb-ec4ad4e68c@s.whatsapp.net,否,,是,NA
