case_id,name,source,expected_handoff,webhook_http,outbound_count,session_id,whatsapp_id,conversation_status,handoff_target,is_active_agent,result,note,reply_preview,question
TC-H70-013-N,[提机规则] 可以换门店提机吗？【直接转人工场景】,提机规则,是,200,0,agent_f943a67f0d294f9d8a0fd1cb66713ed6,newsess-4f2de1228a@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,可以换门店提机吗？
TC-H70-014-N,[门店信息] 我所在的城市有门店吗？【直接转人工场景】,门店信息,是,200,0,agent_c4badd90d94845c2bb18b717abf4fe73,newsess-c6ec5bc4f4@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,我所在的城市有门店吗？
TC-H70-015-N,[官方身份说明] HOT 70 Pro是正品吗？有保修吗？【标准问答场景】,官方身份说明,否,200,0,agent_d2eae48993fe4cb9976cb107ef3123b2,newsess-56fa279f32@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT 70 Pro是正品吗？有保修吗？
TC-H70-016-N,[人工兜底规则] 我想取消预订【直接转人工场景】,人工兜底规则,是,200,0,agent_a1f1af54f83545c5b19c9d2ba7aa6dab,newsess-d19db0c3f7@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,我想取消预订
TC-H70-017-N,[人工兜底规则] 我要投诉/反馈问题【直接转人工场景】,人工兜底规则,是,200,0,agent_cd11fa6b18bc47b69c23d7672a357f39,newsess-a2ca7763f9@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,我要投诉/反馈问题
TC-H70-018-N,[人工兜底规则] 到店后无法提机【直接转人工场景】,人工兜底规则,是,200,0,agent_ed9276233d47487195946bb059c82b3b,newsess-1fd6d51904@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,到店后无法提机
TC-H70-019-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_955f1864c3f846b885801a6951cecf5f,newsess-872c68026d@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G多少钱？
TC-H70-020-N,[活动规则] 订金在哪里付【标准问答场景】,活动规则,否,200,0,agent_cd9f1c85396b4fb5ab71c3317aaa867a,newsess-149a984d3d@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,订金在哪里付
TC-H70-021-N,[提机规则] 提机时还要付多少钱？【标准问答场景】,提机规则,否,200,0,agent_b6cf845fcf6d449288ec15f307ba5f73,newsess-ae308b208a@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,提机时还要付多少钱？
TC-H70-022-N,[活动规则] 如果只线上填了信息，算预订成功吗？【标准问答场景】,活动规则,否,200,0,agent_4b7d28b449e5403a9972c6a1576de3e0,newsess-ab1f015d51@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,如果只线上填了信息，算预订成功吗？
TC-H70-023-N,[活动规则] 订金线上能不能付？【标准问答场景】,活动规则,否,200,0,agent_b845c9ee928f4d919649d6ed48b26a2e,newsess-fc9ec19331@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,订金线上能不能付？
TC-H70-024-N,[活动规则] 可以预订几台？【标准问答场景】,活动规则,否,200,0,agent_eedff0807c0443a2b957e4d179bcc2d3,newsess-b4b8efa426@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,可以预订几台？
TC-H70-025-N,[HOT 70 Pro 商品信息] 选了某个颜色，门店能保证有吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_f4abce841594408f992d930fbfd6c52d,newsess-4b738cb937@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,选了某个颜色，门店能保证有吗？
TC-H70-026-N,[活动权益] 到店具体是什么礼品【标准问答场景】,活动权益,否,200,0,agent_ad05d1d527c04b6faf3a437573c54d8b,newsess-a259bdf92e@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,到店具体是什么礼品
TC-H70-027-N,[活动权益] Smart Watch 怎么领取？【标准问答场景】,活动权益,否,200,0,agent_e4229a7acae04e70b55e3d6f2646b4a6,newsess-02b70b5436@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,Smart Watch 怎么领取？
TC-H70-028-N,[活动权益] 为什么要激活才能拿赠品？【标准问答场景】,活动权益,否,200,0,agent_d18d189e1c704d7e86a03fe62f0c191a,newsess-bed381392f@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,为什么要激活才能拿赠品？
TC-H70-029-N,[门店信息] IBP / IBO 门店是什么意思？【标准问答场景】,门店信息,否,200,0,agent_abf1ec81ab9745a9a1103144c5ce5cbc,newsess-fff3b8b098@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,IBP / IBO 门店是什么意思？
TC-H70-030-N,[HOT 70 Pro 商品信息] HOT 70 Pro 的 RAM 和存储是多少？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_7675959f86d04f31ac5d5396176c899b,newsess-25fc469646@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT 70 Pro 的 RAM 和存储是多少？
TC-H70-031-N,[HOT 70 Pro 商品信息] HOT 70 Pro 屏幕多大？分辨率多少？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_b74b7fe98b5c47c4919bbae6977b3030,newsess-8b3404657e@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT 70 Pro 屏幕多大？分辨率多少？
TC-H70-032-N,[HOT 70 Pro 商品信息] 充电功率多大？充满要多久？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_91d30a196e0148ba9de5ae4cdd3431fc,newsess-b981381dee@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,充电功率多大？充满要多久？
TC-H70-033-N,[HOT 70 Pro 商品信息] 出厂系统版本是什么？支持 Google 服务吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_1b3cca7fd70e4fd195c3723bae93b75f,newsess-b4befc8fa8@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,出厂系统版本是什么？支持 Google 服务吗？
TC-H70-034-N,[官方身份说明] 保修期多长？【标准问答场景】,官方身份说明,否,200,0,agent_4197c97f705146b194771355fa2d19f4,newsess-463ea6846f@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,保修期多长？
TC-H70-035-N,[门店信息] 售后服务中心在哪里？【直接转人工场景】,门店信息,是,200,0,agent_e6ae8dd3eac2496bae896452eb48448e,newsess-f0e0be4da4@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,售后服务中心在哪里？
TC-H70-036-N,[官方身份说明] 手机出问题怎么办？【标准问答场景】,官方身份说明,否,200,0,agent_1a3ae5fe9c7740c7ab519b2d7667335d,newsess-28a14660f9@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,手机出问题怎么办？
TC-H70-037-N,[活动规则] 门店支持哪些付款方式？【标准问答场景】,活动规则,否,200,0,agent_a4bb2859e0024e53b52979f68885a6c9,newsess-38d9dd48d5@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,门店支持哪些付款方式？
TC-H70-038-N,[HOT 70 Pro 商品信息] HOT 70 Pro 和其他 Infinix 手机有什么区别？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_eccdf5e1a172452da8b76702d9843bcf,newsess-7475af9eb8@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT 70 Pro 和其他 Infinix 手机有什么区别？
TC-H70-039-N,[活动规则] 预订后能修改手机号吗？【直接转人工场景】,活动规则,是,200,0,agent_8454363afa59497788cf91566e90d449,newsess-5bad5ff024@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,预订后能修改手机号吗？
TC-H70-040-N,[活动规则] 怎么查我的预订状态？【直接转人工场景】,活动规则,是,200,0,agent_9c12f13ff8884064b25468f1a0f52d6d,newsess-90f5c6de89@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,怎么查我的预订状态？
TC-H70-041-N,[门店信息] 门店营业时间是什么？【标准问答场景】,门店信息,否,200,0,agent_7303065caa3e45c88b0c7f99a2c7fd0a,newsess-f28fd19ad5@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,门店营业时间是什么？
TC-H70-042-N,[提机规则] 什么时候可以提机？【待确认标准问答场景】,提机规则,否,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-043-N,[活动权益] 到店有什么礼品？【待确认标准问答场景】,活动权益,否,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-044-N,[活动规则] 线上预订后，多久内要去门店付订金？【待确认标准问答场景】,活动规则,否,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-045-N,[私域侧活动] 线上抽奖/免单这是什么活动？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-046-N,[私域侧活动] 线上免单活动时间是什么时候？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-047-N,[私域侧活动] 免单是什么意思？是免费送手机吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-048-N,[私域侧活动] 一共抽几个名额？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-049-N,[私域侧活动] 怎样才有资格参加抽奖？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-050-N,[私域侧活动] 只加了 WhatsApp 能参加抽奖吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-051-N,[私域侧活动] 只预订没提机能参加吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-052-N,[私域侧活动] 买别的机型能参加吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-053-N,[私域侧活动] 活动期之外买的算吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-054-N,[私域侧活动] 发预定订单截图就能抽奖了吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-055-N,[私域侧活动] 怎么正式获得抽奖名额？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-056-N,[私域侧活动] 为什么要发露脸照片？不发可以吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-057-N,[私域侧活动] 一个人能有几个抽奖名额？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-058-N,[私域侧活动] 怎么预订 HOT70 Pro？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-059-N,[私域侧活动] 预订后多久能提机？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-060-N,[私域侧活动] 订单截图在哪里找？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-061-N,[私域侧活动] 可以预约到店时间吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-062-N,[私域侧活动] 到店立减券是什么？怎么用？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-063-N,[私域侧活动] 券码可以转给别人吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-064-N,[私域侧活动] 邀请好友有什么好处？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-065-N,[私域侧活动] 什么时候开奖？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-066-N,[私域侧活动] 怎么开奖？公平吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-067-N,[私域侧活动] 中奖后怎么领奖？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-068-N,[私域侧活动] 中奖后退货还能拿免单吗？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-069-N,[私域侧活动] 线上免单活动是真的吗？会不会是骗人的？【待确认标准问答场景】,私域侧活动,待确认,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-070-N,[提机规则] 支持送货上门吗？【待确认标准问答场景】,提机规则,否,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
TC-H70-071-N,[私域侧活动] 预购福利和免单活动能同时参加吗？【待确认标准问答场景】,私域侧活动,否,,0,,,,,,SKIP,未从执行步骤提取到中文发送文案,,
