用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,转人工预期,是否存在知识库,执行阶段,是否使用新会话,知识库是否命中,知识库是否命中正确,日志客户标签,客户标签是否准确,日志转人工,转人工是否准确,实际回复内容（英文）,语义是否合理,回复是否准确,服务端真实耗时,接口响应时长,备注
TC-H70-002-H-C03,[活动规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：process is abnormal】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“process is abnormal”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“process is abnormal”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,process is abnormal,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：process is abnormal,Could you help me with process is abnormal?,是,是,P0,否,是,,NA,NA,否,否,"How to Pre-order HOT 70 Pro 5G:1️⃣ Scan the pre-order QR code or visit the activity page2️⃣ Fill in your details (name, phone number)3️⃣ Enter the verification code4️⃣ Select your preferred store & pickup time5️⃣ Confirm your booking — you'll receive a pickup code!📅 Pre-order period: July 8–12🎁 Pre-order benefits available — don't miss out!",否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了预购步骤，未针对用户提出的流程异常问题进行回应，语义不合理。
TC-H70-003-H-C01,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：user asks about special promotions】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“user asks about special promotions”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“user asks about special promotions”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,user asks about special promotions,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：user asks about special promotions,Could you help me with user asks about special promotions?,是,是,P0,否,是,,NA,NA,否,否,Pre-order Exclusive Benefits:🎁 Priority pickup — be among the first to get HOT 70 Pro 5G🎁 Exclusive pre-order gifts (subject to availability)🎁 Chance to win lucky draw prizes🎁 Special in-store promotions during launch weekVisit your nearest Infinix store for full details!,否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 用户询问特殊促销，机器人重复预订福利，未针对新问题回答。
TC-H70-003-H-C02,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：fails to claim benefits】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“fails to claim benefits”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“fails to claim benefits”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,fails to claim benefits,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：fails to claim benefits,Could you help me with fails to claim benefits?,是,是,P0,否,否,,NA,NA,否,否,Pre-order Exclusive Benefits:🎁 Priority pickup — be among the first to get HOT 70 Pro 5G🎁 Exclusive pre-order gifts (subject to availability)🎁 Chance to win lucky draw prizes🎁 Special in-store promotions during launch weekVisit your nearest Infinix store for full details!,否,否,379,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的优惠信息，没有针对用户关于无法领取优惠的问题提供帮助。
TC-H70-003-H-C03,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：asks whether discounts can be stacked】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asks whether discounts can be stacked”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asks whether discounts can be stacked”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asks whether discounts can be stacked,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asks whether discounts can be stacked,Could you help me with asks whether discounts can be stacked?,是,是,P0,否,否,,NA,NA,否,否,Pre-order Exclusive Benefits:🎁 Priority pickup — be among the first to get HOT 70 Pro 5G🎁 Exclusive pre-order gifts (subject to availability)🎁 Chance to win lucky draw prizes🎁 Special in-store promotions during launch weekVisit your nearest Infinix store for full details!,否,否,416,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未针对用户关于折扣叠加的询问给出具体回复，而是重复了之前的宣传信息。
TC-H70-004-H-C01,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：real-time inventory】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“real-time inventory”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“real-time inventory”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,real-time inventory,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：real-time inventory,Could you help me with real-time inventory?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,347,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未针对用户关于实时库存的提问给出回应，而是重复了之前的购买地点信息。
TC-H70-004-H-C02,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：store anomalies】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“store anomalies”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“store anomalies”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,store anomalies,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：store anomalies,Could you help me with store anomalies?,是,是,P0,否,是,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回答，未回应关于店铺异常的新问题。
TC-H70-004-H-C03,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：uncovered cities】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“uncovered cities”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“uncovered cities”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,uncovered cities,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：uncovered cities,Could you help me with uncovered cities?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",否,否,364,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回答，没有针对用户关于未覆盖城市的问题进行回应。
TC-H70-004-H-C04,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：specific store confirmation are involved】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“specific store confirmation are involved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“specific store confirmation are involved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,specific store confirmation are involved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：specific store confirmation are involved,Could you help me with specific store confirmation are involved?,是,是,P0,否,否,,NA,NA,否,否,"I could not find reliable coverage for this in the knowledge base. Please share the product model, country/region, order, or specific scenario, and I will check again.",否,否,347,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回复，未针对用户关于具体商店确认的新问题做出回应，语义不合理。
TC-H70-005-H-C01,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：user still does not trust】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“user still does not trust”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“user still does not trust”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,user still does not trust,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：user still does not trust,Could you help me with user still does not trust?,是,是,P0,否,否,,NA,NA,否,否,"Yes, this is the official verified WhatsApp account for TECNO / Infinix / itel customer service. You are chatting with an official representative! 

How can I help you today? 😉_",否,否,0,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; FAQ转人工条件匹配; 机器人重复了之前的回复，未针对用户关于信任问题的请求提供实质性帮助。
TC-H70-005-H-C02,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：requests manual confirmation】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“requests manual confirmation”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“requests manual confirmation”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,requests manual confirmation,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：requests manual confirmation,Could you help me with requests manual confirmation?,是,是,P0,否,否,,NA,NA,否,否,Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.✅ All products sold through our channels are 100% genuine✅ Full manufacturer warranty applies✅ After-sales support at any Infinix service centerYou can verify official channels on our website and social media pages.,否,否,344,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人重复了之前的回复，没有针对用户关于请求人工确认的问题进行回答，导致答非所问。
