用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-003-H-C02,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：fails to claim benefits】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“fails to claim benefits”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“fails to claim benefits”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,fails to claim benefits,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：fails to claim benefits,Could you help me with fails to claim benefits?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-003-H-C03,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：asks whether discounts can be stacked】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asks whether discounts can be stacked”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asks whether discounts can be stacked”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asks whether discounts can be stacked,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asks whether discounts can be stacked,Could you help me with asks whether discounts can be stacked?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-N,[提机规则] 什么时候可以提机？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Final payment / pickup period is August 12–16, 2026. Please visit your selected store during this period with your confirmation information and valid ID.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,什么时候可以提机？,When can I pick up the phone?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-004-H-C01,[提机规则] 什么时候可以提机？【条件式转人工场景：Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf,Could you help me with Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-H-C02,[提机规则] 什么时候可以提机？【条件式转人工场景：cannot pick up the device at the store】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“cannot pick up the device at the store”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“cannot pick up the device at the store”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,cannot pick up the device at the store,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：cannot pick up the device at the store,Could you help me with cannot pick up the device at the store?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-H-C03,[提机规则] 什么时候可以提机？【条件式转人工场景：has an abnormal voucher】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“has an abnormal voucher”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“has an abnormal voucher”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,has an abnormal voucher,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：has an abnormal voucher,Could you help me with has an abnormal voucher?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-H-C04,[提机规则] 什么时候可以提机？【条件式转人工场景：confirmation code】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“confirmation code”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“confirmation code”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,confirmation code,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：confirmation code,Could you help me with confirmation code?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-H-C05,[提机规则] 什么时候可以提机？【条件式转人工场景：has missed the pickup deadline】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“has missed the pickup deadline”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“has missed the pickup deadline”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,has missed the pickup deadline,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：has missed the pickup deadline,Could you help me with has missed the pickup deadline?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-005-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
• Infinix Brand Shops (IBO)
• Infinix Partner Stores (IBP)
• Authorized KDM partners

Tap ""Find a Store"" to locate the nearest Infinix store to you!
[https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online)

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,哪里可以买/提HOT 70 Pro？,Where can I buy/pick up the HOT 70 Pro?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-005-H-C01,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：real-time inventory】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“real-time inventory”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“real-time inventory”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,real-time inventory,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：real-time inventory,Could you help me with real-time inventory?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-005-H-C02,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：store anomalies】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“store anomalies”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“store anomalies”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,store anomalies,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：store anomalies,Could you help me with store anomalies?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-005-H-C03,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：uncovered cities】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“uncovered cities”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“uncovered cities”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,uncovered cities,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：uncovered cities,Could you help me with uncovered cities?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-005-H-C04,[门店信息] 哪里可以买/提HOT 70 Pro？【条件式转人工场景：specific store confirmation are involved】,步骤1：先执行关联标准用例“TC-H70-005-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“specific store confirmation are involved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“specific store confirmation are involved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,specific store confirmation are involved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-005-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：specific store confirmation are involved,Could you help me with specific store confirmation are involved?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-006-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

✅ All products sold through our channels are 100% genuine
✅ Full manufacturer warranty applies
✅ After-sales support at any Infinix service center

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,这个 WhatsApp 号是正规的吗？,Is this WhatsApp number legitimate?,P1,是,,是,,,,,,,否,,,,,,,,,
TC-H70-006-H-C01,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：user still does not trust】,步骤1：先执行关联标准用例“TC-H70-006-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“user still does not trust”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“user still does not trust”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,user still does not trust,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-006-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：user still does not trust,Could you help me with user still does not trust?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-006-H-C02,[官方身份说明] 这个 WhatsApp 号是正规的吗？【条件式转人工场景：requests manual confirmation】,步骤1：先执行关联标准用例“TC-H70-006-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“requests manual confirmation”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“requests manual confirmation”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,requests manual confirmation,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-006-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：requests manual confirmation,Could you help me with requests manual confirmation?,P1,否,,是,,,,,,,是,,,,,,,,,
TC-H70-007-N,[人工兜底规则] 预订失败了怎么办？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：观察是否按规则触发人工转接。步骤5：确认未输出超出知识库的确定性结论。,该问题按知识库规则应直接触发转人工；转接前话术应与当前问题相关，不应输出超范围确定性结论。,该问题按规则直接转人工,验证直接转人工策略、转接话术相关性及知识边界控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订失败了怎么办？,What should I do if the booking fails?,P1,是,,是,,,,,,,是,,,,,,,,,
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G+ comes in 6 official colors: Night Pulse, Mirage Green, Dive Blue, Thermo Orange, Sleek Black, and Silk Glow Purple.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些颜色？,What colors does the HOT70 Pro 5G come in?,P1,是,,是,,,,,,,否,,,,,,,,,
TC-H70-009-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 支持 5G 吗？,Does the HOT70 Pro support 5G?,P1,是,,是,,,,,,,否,,,,,,,,,
TC-H70-010-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G防水吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! HOT 70 Pro 5G is rated IP68 for water and dust resistance — built to handle rain, splashes, and dusty environments with confidence.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G防水吗？,Is the HOT70 Pro 5G waterproof?,P2,是,,是,,,,,,,否,,,,,,,,,
