序号,状态,是否需要转人工,是否转人工（英文）,回复中文翻译,转人工条件/备注,用户问题,转人工条件（英文）,业务反馈,问题（英文）,分类
,已确认,视情况,Depends on the situation,"提交线上预订信息后，请在2026 年 8 月 1 日至 8 月 11 日期间前往所选 IBP / IBO 门店支付 BDT 5,000 订金，以完成预订确认。
之后请在 8 月 12 日至 8 月 16 日期间支付尾款并提机。尾款使用 Palmpay 支付且符合规则的用户，可当场立减 BDT 2,000。",用户需要更换手机型号或颜色时转人工。,预订后下一步做什么？,Transfer to human if the user wants to change the phone model or color.,"After submitting your online pre-order information, please visit your selected IBP / IBO store during August 1–11, 2026 to pay the BDT 5,000 deposit to confirm your pre-order.
Then pay the final balance and pick up the phone during August 12–16, 2026. Paying the final balance with Palmpay can qualify eligible users for an instant BDT 2,000 discount.",What to do next after booking?,预订规则
,已确认,视情况,Depends on the situation,支持。HOT 70 Pro 5G 可选择全款、4 期、6 期、9 期、12 期分期。部分Infinix门店有售。请向店内工作人员咨询符合条件的计划详情！,具体分期方案，转人工。,支持分期付款吗？,Transfer to human when the user asks about specific installment plan details or store eligibility.,"Yes! HOT 70 Pro 5G supports full payment and installment options of 4, 6, 9, and 12 months. Available at selected Infinix stores. Ask our in-store team for details on eligible plans!",Do you support installment payments?,预订权益
,已确认,否,No,"领取您的HOT 70 Pro 5G时，请携带：
1️⃣ 取货确认码（通过短信发送）
2️⃣ 有效的政府签发身份证件

请确保您预订时使用的姓名与身份证件上的姓名一致。",,提机需要带什么？,,"To collect your HOT 70 Pro 5G, please bring:
1️⃣ Your pickup confirmation code (sent via SMS)
2️⃣ A valid government-issued ID

Make sure the name on your booking matches your ID.",What do I need to bring to pick up the phone?,提机规则
,已确认,是,Yes,预订与您在预约时选择的门店绑定。如果您需要更改取货门店，请回复“更换取货门店”。,,可以换门店提机吗？,,"Pre-orders are tied to the store you selected during booking. If you need to change your pickup store, please reply with ""Change Pickup Store"".",Can I pick up the device at a different store?,人工兜底规则
,后续需要更新,是,Yes,"传音在各大城市都有门店。要查询您附近是否有门店，请点击“查找门店”！
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",,我所在的城市有门店吗？,,"Infinix has stores across major cities. To check if there's a store near you, tap ""Find a Store"" !
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",Is there a store in my city?,人工兜底规则
,已确认,否,No,"当然！HOT 70 Pro 5G 是 100% 正品传音产品，具有：
✅ 完整的制造商保修
✅ 传音服务中心的官方售后服务
✅ 3 年操作系统更新 + 5 年安全更新",,HOT 70 Pro是正品吗？有保修吗？,,"Absolutely! HOT 70 Pro 5G is a 100% genuine Infinix product with:
✅ Full manufacturer warranty
✅ Official after-sales service at Infinix service centers
✅ 3 years OS updates + 5 years security updates",Is the HOT 70 Pro genuine? Does it come with a warranty?,HOT 70 Pro 商品信息
,已确认,是,Yes,我们非常重视您的反馈。客服人员将很快与您联系，帮助解决您的问题。感谢您的耐心等待！,,我要投诉/反馈问题,,We take your feedback seriously. A support agent will be with you shortly to help resolve your concern. Thank you for your patience!,I want to make a complaint/feedback about an issue,投诉/退货退款
,已确认,是,Yes,到店后无法提机需要人工进一步核实。我将为您转接人工客服处理。,,到店后无法提机,,"If you are at the store but cannot pick up the phone, this needs further checking by our service team. I will transfer you to a human agent for support.",Unable to pick up the device after arriving at the store,人工兜底规则
,已确认,视情况,Depends on the situation,"HOT 70 Pro 5G 128GB+8GB 售价为 BDT 36,999。

线上预订免费。在线提交信息后，请前往您选择的 Infinix 门店线下支付 BDT 5,000 订金并确认预订。

通过预订活动购买并成功提机，且尾款使用 Palmpay 支付的用户，可当场立减 BDT 2,000。",门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,HOT70 Pro 5G多少钱？ ,"Transfer to human when store quotations are inconsistent, special prices, overlapping discounts, or price disputes occur","HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.

Online pre-booking is free. After submitting your information online, please visit your selected Infinix store to pay the BDT 5,000 offline deposit and confirm your pre-order.

Users who purchase through the pre-order campaign, successfully pick up the phone, and pay the final balance with Palmpay can get an instant BDT 2,000 discount.",How much is the HOT70 Pro 5G?,HOT 70 Pro 商品信息
,已确认,视情况,Depends on the situation,"BDT 5,000 订金需要在线下所选 Infinix 门店支付。

前往门店时，请携带您的预订信息或确认码。",用户询问收据、发票、门店无法收款时转人工。,订金在哪里付,"Transfer to a human agent if the user asks about receipts or invoices, or if the store cannot collect the payment.","The BDT 5,000 deposit should be paid offline at your selected Infinix store.

Please bring your booking information or confirmation code when you visit the store.",Where to pay the deposit?,预订规则
,已确认,视情况,Depends on the situation,"总价为 BDT 36,999。如已支付 BDT 5,000 定金，尾款为 BDT 31,999。符合活动规则且尾款使用 Palmpay 支付的用户，可当场立减 BDT 2,000，因此尾款实付可为 BDT 29,999。
最终付款金额请以所选门店确认为准。",用户已享受其他优惠、门店金额不一致、付款争议时转人工。,提机时还要付多少钱？,"Transfer to human when user has already received other discounts, store amount is inconsistent, or there is a payment dispute","The total price is BDT 36,999. If you have paid the BDT 5,000 deposit, the remaining balance is BDT 31,999. Eligible users who pay the final balance with Palmpay can get an instant BDT 2,000 discount, so the final payable balance can be BDT 29,999.

Final payment should be confirmed with the selected store.",How much more do I need to pay when picking up the phone?,提机规则
,已确认,视情况,Depends on the situation,"在线提交信息只是完成预订意向登记，

您需要在预订期内前往所选 Infinix 门店线下支付 BDT 5,000 订金后，才算完成预订确认。",用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,如果只线上填了信息，算预订成功吗？,"Transfer to human when user has submitted but the store cannot find the record, no confirmation message received, or asking whether the slot can be reserved","Submitting your information online helps reserve your interest.

Your pre-order is confirmed after you visit the selected Infinix store and pay the BDT 5,000 offline deposit during the pre-order period.","If I only filled in the information online, is the reservation considered successful?",预订规则
,已确认,视情况,Depends on the situation,"请在预订期 2026 年 8 月 1 日至 8 月 11 日期间，前往您选择的 Infinix 门店线下支付 BDT 5,000 订金，以确认预订。

如果未在预订期内完成线下订金确认，您的预订名额可能无法保留。",用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,线上预订后，多久内要去门店付订金？,"Transfer to human when user asks whether it can be extended, whether the store can reserve a slot, or the booking period has passed","Please visit your selected Infinix store during the pre-order period, August 1–11, 2026, to pay the BDT 5,000 offline deposit and confirm your pre-order.

If you do not complete the offline deposit confirmation during the pre-order period, your pre-order may not be secured.","After making an online reservation, how long do I have to go to the store to pay the deposit?",预订规则
,已确认,视情况,Depends on the situation,"不能。线上预订是免费的，不需要在线支付。

BDT 5,000 订金需要在您选择的 Infinix 线下门店支付，用于确认预订。",用户支付失败、要求线上转账时转人工。,订金线上能不能付？,Transfer to a human agent if the payment fails or the user requests an online transfer.,"No. Online pre-booking is free and does not require online payment.

The BDT 5,000 deposit should be paid offline at your selected Infinix store to confirm the pre-order.",Can the deposit be paid online?,预订规则
,已确认,视情况,Depends on the situation,"根据活动规则，每个订单通常限预订 1 台。
",多台购买、团购、批量采购、门店特殊处理时转人工。,可以预订几台？,"Transfer to human for multi-unit purchases, group buying, bulk procurement, or special store handling",Each order may be limited to 1 unit under the campaign rules.,How many units can be booked?,预订规则
,已确认,视情况,Depends on the situation,"颜色是否可选取决于您所选门店的实际库存。

您在线上选择的颜色会作为偏好记录，但最终是否可提供，需要以提机或交付时门店库存为准。",用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,选了某个颜色，门店能保证有吗？,"Transfer to human when user strongly requests a specific color, inquires about specific store color inventory, or complains about color inconsistency","Color availability depends on the stock at your selected store.

Your selected color is a preference, but final availability will be confirmed at the time of pickup or delivery.","If I choose a certain color, can the store guarantee it is available?",HOT 70 Pro 商品信息
,已确认,视情况,Depends on the situation,"IBP/IBO 门店指参与本次活动的 Infinix 授权门店。

您的订金确认、提机和库存确认，将由您选择的参与门店处理。",用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,IBP / IBO 门店是什么意思？,Transfer to a human agent when the user asks whether a specific store is IBP/IBO or asks about store qualifications.,"IBP/IBO stores refer to participating Infinix authorized stores.

Your deposit confirmation, pickup and stock availability will be handled by the selected participating store.",What does IBP/IBO store mean?,门店信息
,已确认,否,No,Infinix HOT70 Pro免单大奖活动：活动期内购买 HOT70 Pro并完成到店提机、回传凭证，即可参与抽奖，有机会赢得免单（退还购机款）。,,线上抽奖/免单这是什么活动？,,"Infinix HOT 70 Pro purchase reimbursement grand prize campaign:

During the campaign, purchase HOT 70 Pro, complete in-store pickup, and submit the required proof to join the lucky draw for a chance to win full reimbursement of the phone purchase price.",What is this online lucky draw/free order event?,免单活动
,已确认,否,No,活动时间：2026 年 8 月 1 日 00:00:00 至 2026 年 8 月 16 日 23:59:59。预订期：8 月 1 日至 8 月 11 日；尾款 / 提机期：8 月 12 日至 8 月 16 日。,,线上免单活动时间是什么时候？,,"Campaign period: August 1, 2026 00:00:00 to August 16, 2026 23:59:59. Pre-order: August 1–11, 2026. Final payment / pickup: August 12–16, 2026.",When is the online free order event time?,免单活动
,已确认,否,No,主办方在后台从所有合格名额中随机抽取 1 名，全程公开透明（录屏/公示）。,,怎么开奖？公平吗？,,"The organizer will randomly select 1 winner from all qualified entries in the backend.

The process will be open and transparent, such as through screen recording or public announcement.",How is the lottery drawn? Is it fair?,免单活动
,已确认,否,No,收到通知后在规定时间内回复确认，并配合核验身份与购机凭证，免单款将退还给你。,,中奖后怎么领奖？,,"After receiving the winner notification, please reply within the required time and cooperate with identity and purchase proof verification.

The reimbursement prize will then be refunded to you.",How to claim the prize after winning?,免单活动
,已确认,视情况,Depends on the situation,不能。中奖后若退货/退款致购买不成立，将取消中奖资格并追回奖励。,用户说要退货、退款后转人工询问原因并安抚挽留,中奖后退货还能拿免单吗？,"Transfer to a human agent if the user says they want to return the product or request a refund; the agent should ask for the reason, reassure the user, and try to retain the customer.","No. If the purchase becomes invalid because of return or refund after winning, the winner qualification will be cancelled and the reward will be recovered.",Can I still get a free order if I return the product after winning the prize?,免单活动
,已确认,否,No,免单指退还你购买 HOT70 Pro的实付购机款。需先正常购买，中奖后退款，并非直接免费送。,,免单是什么意思？是免费送手机吗？,,"""Free order"" means the actual amount you paid to purchase HOT 70 Pro will be refunded if you win.

You still need to purchase the phone first. The prize is a refund after winning, not a free phone given upfront.","What does ""free order"" mean? Does it mean a free phone?",免单活动
,已确认,视情况,Depends on the situation,大奖一名,用户询问中奖概率转人工,一共抽几个名额？,Transfer to a human agent if the user asks about the winning probability.,There is 1 grand prize winner.,How many spots are there in total?,免单活动
,已确认,否,No,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；② 到店完成提机；③ 添加官方 WhatsApp 客服；④ 所购为指定机型 HOT70 Pro。,,怎样才有资格参加抽奖？,,"To qualify, you must meet all of the following requirements:
1. Complete HOT 70 Pro online pre-order during the campaign period.
2. Complete in-store pickup.
3. Add the official WhatsApp customer service account.
4. Purchase the specified model, HOT 70 Pro.",How to qualify for the lottery?,免单活动
,已确认,否,No,不能。加 WhatsApp 只是第一步，还需购买HOT 70 Pro 并完成到店提机才有资格。,,只加了 WhatsApp 能参加抽奖吗？,,"No. Adding WhatsApp is only the first step.

You must also purchase HOT 70 Pro and complete in-store pickup to qualify for the lucky draw.",Can I participate in the lucky draw by only adding WhatsApp?,免单活动
,已确认,否,No,不能。必须完成到店提机并回传凭证，才正式获得抽奖名额。,,只预订没提机能参加吗？,,No. You must complete in-store pickup and submit the required proof before you officially receive a lucky draw entry.,Can I participate if I only made a reservation but didn't pick up the phone?,免单活动
,已确认,否,No,不能，本活动仅限指定机型 Infinix HOT 70 Pro 5G。,,买别的机型能参加吗？,,"No. This campaign is only for the specified model, Infinix HOT 70 Pro 5G.",Can I participate if I buy another model?,免单活动
,已确认,否,No,不算。活动期为 2026 年 8 月 1 日 00:00:00 至 8 月 16 日 23:59:59。预订需在 8 月 1 日至 8 月 11 日完成，尾款 / 提机需在 8 月 12 日至 8 月 16 日完成。,,活动期之外买的算吗？,,"No. The campaign period is August 1, 2026 00:00:00 to August 16, 2026 23:59:59. Pre-order must be completed during August 1–11, and final payment / pickup during August 12–16.",Does it count if it was bought outside the active period?,免单活动
,已确认,否,No,发订单截图只是先“锁定”抽奖资格，还需完成到店提机后才正式进入抽奖池。,,发预定订单截图就能抽奖了吗？,,"Sending a pre-order screenshot only helps lock your lucky draw eligibility.

You still need to complete in-store pickup before you officially enter the lucky draw pool.",Can I draw a lottery by sending a screenshot of the reservation order?,免单活动
,已确认,否,No,到店提机后，把你和新机的露脸合照发给客服，即可进入抽奖池。,,怎么正式获得抽奖名额？,,"After completing in-store pickup, send customer service a clear selfie showing you and the new phone. You will then enter the lucky draw pool.",How to formally obtain a lottery entry?,免单活动
,已确认,否,No,用于核验你确实本人完成了提机，保证活动公平。可以用提机凭证和下单手机号代替。,,为什么要发露脸照片？不发可以吗？,,"The face photo is used to verify that you personally completed pickup and to keep the campaign fair.

If you do not want to send a face photo, you may use  pickup proof and the ordering phone number instead.",Why post a photo showing your face? Is it okay not to post?,免单活动
,已确认,否,No,每成功购买并提机一台 HOT70 Pro、完成回传，得 1 个名额；同一订单不重复计算。,,一个人能有几个抽奖名额？,,"Each successfully purchased and picked-up HOT 70 Pro, with proof submitted, gives you 1 lucky draw entry.

The same order will not be counted repeatedly.",How many lottery entries can one person have?,免单活动
,已确认,视情况,Depends on the situation,在你提交预订的确认页面/信息里可找到，发给客服即可锁定资格。,客户说还是找不到预订信息/预订页面，可以转人工解决,订单截图在哪里找？,Transfer to human if the user still cannot find the booking information or booking page.,"You can find the order screenshot on the confirmation page or in the information shown after submitting your pre-order.

Send it to customer service to lock your eligibility.",Where can I find the order screenshot?,免单活动
,已确认,是,Yes,可以，把方便的时间告诉客服，帮你留货、减少排队。,,可以预约到店时间吗？,,Yes. Tell customer service your preferred visit time. We can help reserve stock for you and reduce waiting time.,Can I make an appointment for in-store time?,人工兜底规则
,已确认,否,No,2026 年 8 月 17 日开奖。,,什么时候开奖？,,"The winner will be announced on August 17, 2026.",When will the lottery draw be held?,免单活动
,已确认,否,No,线上免单是官方活动，开奖公开透明。,,线上免单活动是真的吗？会不会是骗人的？,,"Yes. The online purchase reimbursement campaign is an official campaign, and the winner announcement will be open and transparent.",Is the online free order activity real? Could it be a scam?,免单活动
,已确认,否,No,HOT 70 Pro 5G 配备 8GB RAM + 128GB 存储空间，还支持虚拟内存扩展，实现更流畅的多任务处理。,,HOT 70 Pro 的 RAM 和存储是多少？,,HOT 70 Pro 5G comes with 8GB RAM + 128GB storage. It also supports virtual RAM expansion for smoother multitasking.,What is the RAM and storage of the HOT 70 Pro?,HOT 70 Pro 商品信息
,已确认,否,No,HOT 70 Pro 5G+ 配备 6.76 英寸 FHD+ LTPS LCD 屏幕，支持 144Hz 高刷新率和 960 尼特峰值亮度，带来沉浸式视觉体验。,,HOT 70 Pro 刷新率多少？,,HOT 70 Pro 5G+ has a 6.76-inch FHD+ LTPS LCD display with 144Hz high refresh rate and 960 nits peak brightness for an immersive viewing experience. ,What is the  refresh rate of the HOT 70 Pro?,HOT 70 Pro 商品信息
,已确认,视情况,Depends on the situation,HOT 70 Pro 5G 配备 6000mAh 电池，支持快速充电。,用户询问充电时长、多久充满、实际续航时转人工。,HOT 70 Pro 电池多大？,"Transfer to a human agent when the user asks charging duration, full-charge time, real-life battery endurance.",HOT 70 Pro 5G comes with a 6000mAh battery with fast charging support. ,What is the battery capacity of the HOT 70 Pro?,HOT 70 Pro 商品信息
,已确认,否,No,HOT 70 Pro 5G 搭载最新 Android 系统，完全支持 Google 移动服务（GMS），包括 Google Play 商店、Gmail、YouTube 等。同时享有 3 年系统更新和 5 年安全更新。,,出厂系统版本是什么？支持 Google 服务吗？,,"HOT 70 Pro 5G comes with the latest Android system and supports full Google Mobile Services (GMS), including Google Play Store, Gmail, YouTube, and more. It also receives 3 years of OS updates and 5 years of security updates.",What is the factory system version? Does it support Google services?,HOT 70 Pro 商品信息
,已确认,视情况,Depends on the situation,HOT 70 Pro 5G 享有标准 1 年制造商保修，涵盖硬件缺陷。配件可能有单独的保修条款。,用户询问具体保修范围、配件保修、延保时转人工。,保修期多长？,"User inquiries about specific warranty coverage, accessory warranty, or extended warranty should be transferred to a human agent.",HOT 70 Pro 5G comes with a standard 1-year manufacturer warranty covering hardware defects. Accessories may have separate warranty terms. ,How long is the warranty period?,售后/保修基础信息
,后续需要更新,是,Yes,"Infinix 在各大城市均设有授权服务中心。要查找最近的服务中心，请点击""查找门店""或通过 WhatsApp 发送您的位置，我们将帮助您找到最近的服务网点！
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",,售后服务中心在哪里？,,"Infinix has authorized service centers across major cities. To find the nearest service center, tap ""Find a Store"" or send us your location via WhatsApp and we'll help you locate the closest one!
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",Where is the after-sales service center?,人工兜底规则
,已确认,视情况,Depends on the situation,如果您的 HOT 70 Pro 5G 出现任何问题，请携带设备和购买凭证前往任何 Infinix 授权服务中心。我们的售后团队将在保修范围内为您提供诊断和维修服务。,远程无法解决的硬件故障、保修争议时转人工。,手机出问题怎么办？,"Hardware issues that cannot be resolved remotely, or warranty disputes, should be transferred to a human agent.","If you experience any issues with your HOT 70 Pro 5G, please visit any authorized Infinix service center with your device and proof of purchase. Our after-sales team will assist you with diagnosis and repair under warranty. ",What should I do if my phone has a problem?,售后/保修基础信息
,已确认,视情况,Depends on the situation,"付款方式因门店而异。大多数 Infinix 门店接受现金、银行卡和移动金融服务（如 bKash、Nagad）。本次活动中，通过预订活动购买并成功提机后，尾款使用 Palmpay 支付的用户，可当场立减 BDT 2,000。",用户询问特定门店支持的付款方式、支付失败时转人工。,门店支持哪些付款方式？,Transfer to a human agent when the user asks about payment methods supported by a specific store or when payment fails.,"Payment methods may vary by store. Most Infinix stores accept cash, bank card, and mobile financial services (e.g., bKash, Nagad).For this campaign, users who pay the final balance with Palmpay after successful pre-order and pickup can get an instant BDT 2,000 discount.",What payment methods are supported in the store?,预订规则
,已确认,否,No,目前本次活动需到所选 Infinix 门店提机。请在 2026 年 8 月 12 日至 8 月 16 日期间前往所选门店支付尾款并提机。,,支持送货上门吗？,,"Currently, the campaign requires in-store pickup at the selected Infinix store. Please visit your selected store during August 12–16, 2026 to pay the final balance and collect the device.",Do you support home delivery?,提机规则
,已确认,否,No,"可以。符合规则的用户完成预订、提机，并使用 Palmpay 支付尾款后，可享受当场立减 BDT 2,000；同时，添加官方 WhatsApp 并上传相关信息后，也可参与 WhatsApp 免单抽奖。",,预购福利和免单活动能同时参加吗？,,"Yes. Eligible users can enjoy the Palmpay instant BDT 2,000 discount after successful pre-order, pickup, and final payment with Palmpay, and can also join the WhatsApp free-order lucky draw after adding the official WhatsApp account and uploading the required information.",Can pre-order benefits and free order activities be participated in at the same time?,免单活动
,已确认,视情况,Depends on the situation,HOT 70 Pro 5G 是我们最新的旗舰级设备，配备 144Hz 显示屏、索尼影像系统、IP68 防护、6000mAh 电池、变色设计和 DIY 立方体 LED。,用户需要详细参数对比、选购建议时转人工。,HOT 70 Pro 和其他 Infinix 手机有什么区别？,Transfer to a human agent when the user needs detailed parameter comparisons or purchase advice.,"HOT 70 Pro 5G is our latest flagship-level device featuring 144Hz display, SONY camera system, IP68 protection, 6000mAh battery, color-changing design, and DIY Cube LED. ",What is the difference between the HOT 70 Pro and other Infinix phones?,HOT 70 Pro 商品信息
,已确认,是,Yes,如果您在预订后需要修改注册手机号，请提供预订确认码，我将为您转接人工客服核实。,,预订后能修改手机号吗？,,"If you need to update your registered phone number after pre-ordering, please provide your booking confirmation code.I will transfer you to a human agent for further checking.",Can I change the phone number after booking?,人工兜底规则
,已确认,是,Yes,如需查询预订状态，请提供预订确认码，我将为您转接人工客服查询。,,怎么查我的预订状态？,,"To check your pre-order status, please provide your booking confirmation code. I will transfer you to a human agent to check it for you.",How can I check my booking status?,人工兜底规则
,后续需要更新,视情况,Depends on the situation,"门店营业时间因地点而异。大多数 Infinix 门店营业时间为上午 10:00 至晚上 9:00。如需了解您所选择门店的确切营业时间，请点击""查找门店""。
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",用户询问特定门店营业时间时转人工。,门店营业时间是什么？,Transfer to a human agent when the user asks about the business hours of a specific store.,"Store hours may vary by location. Most Infinix stores are open from 10:00 AM to 9:00 PM. For the exact opening hours of your selected store, please tap ""Find a Store"" .
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",What are the store hours?,门店信息
