id,input,expected_intent,expected_action,expected_facts,should_handoff,priority,rule_id,source
INT-FAQ-A002-P5,next step,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
INT-FAQ-A002-P6,pre-order,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
INT-FAQ-A003,预订 HOT 70 Pro有什么福利？,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq
INT-FAQ-A003-P1,gift,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P2,voucher,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P3,coupon,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P4,lucky draw,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P5,benefit,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P6,discount,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A003-P7,pre-order bonus,活动权益,reply,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,conditional,P0,FAQ-A003,faq_paraphrase
INT-FAQ-A004,什么时候可以提机？,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq
INT-FAQ-A004-P1,pickup,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A004-P2,collect,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A004-P3,store,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A004-P4,proof,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A004-P5,deadline,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A004-P6,when can I get my phone,提机相关,reply,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,conditional,P0,FAQ-A004,faq_paraphrase
INT-FAQ-A005,哪里可以买/提HOT 70 Pro？,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq
INT-FAQ-A005-P1,city,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P2,store,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P3,address,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P4,opening hours,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P5,contact,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P6,pickup store,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A005-P7,where to buy,门店相关,reply,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,conditional,P0,FAQ-A005,faq_paraphrase
INT-FAQ-A006,这个 WhatsApp 号是正规的吗？,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq
INT-FAQ-A006-P1,official,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A006-P2,real,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A006-P3,authentic,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A006-P4,genuine,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A006-P5,official channel,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A006-P6,is this legit,官方身份,reply,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq_paraphrase
INT-FAQ-A007,预订失败了怎么办？,人工兜底,handoff,,true,P0,FAQ-A007,faq
INT-FAQ-A007-P1,failed booking,人工兜底,handoff,,true,P0,FAQ-A007,faq_paraphrase
INT-FAQ-A007-P2,error,人工兜底,handoff,,true,P0,FAQ-A007,faq_paraphrase
INT-FAQ-A007-P3,can't book,人工兜底,handoff,,true,P0,FAQ-A007,faq_paraphrase
INT-FAQ-A007-P4,not working,人工兜底,handoff,,true,P0,FAQ-A007,faq_paraphrase
INT-FAQ-A007-P5,system error,人工兜底,handoff,,true,P0,FAQ-A007,faq_paraphrase
INT-FAQ-A008,HOT70 Pro 5G有哪些颜色？,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq
INT-FAQ-A008-P1,what colors,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq_paraphrase
INT-FAQ-A008-P2,color options,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq_paraphrase
INT-FAQ-A008-P3,design,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq_paraphrase
INT-FAQ-A008-P4,variants,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq_paraphrase
INT-FAQ-A008-P5,finish,产品信息,reply,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq_paraphrase
INT-FAQ-A009,HOT70 Pro 支持 5G 吗？,产品信息,reply,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq
INT-FAQ-A009-P1,5G,产品信息,reply,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq_paraphrase
INT-FAQ-A009-P2,network,产品信息,reply,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq_paraphrase
INT-FAQ-A009-P3,connectivity,产品信息,reply,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq_paraphrase
INT-FAQ-A009-P4,does it have 5G,产品信息,reply,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq_paraphrase
INT-FAQ-A010,HOT70 Pro 5G防水吗？,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq
INT-FAQ-A010-P1,waterproof,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq_paraphrase
INT-FAQ-A010-P2,IP68,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq_paraphrase
INT-FAQ-A010-P3,IP69,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq_paraphrase
INT-FAQ-A010-P4,water resistant,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq_paraphrase
INT-FAQ-A010-P5,can it get wet,产品信息,reply,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq_paraphrase
INT-FAQ-A011,预订后下一步做什么？,活动规则,reply,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq
INT-FAQ-A011-P1,after booking,活动规则,reply,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq_paraphrase
INT-FAQ-A011-P2,what next,活动规则,reply,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq_paraphrase
INT-FAQ-A011-P3,confirmation,活动规则,reply,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq_paraphrase
INT-FAQ-A011-P4,next step,活动规则,reply,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq_paraphrase
INT-FAQ-A012,支持分期付款吗？,活动权益,reply,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,conditional,P0,FAQ-A012,faq
INT-FAQ-A012-P1,installment,活动权益,reply,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,conditional,P0,FAQ-A012,faq_paraphrase
INT-FAQ-A012-P2,EMI,活动权益,reply,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,conditional,P0,FAQ-A012,faq_paraphrase
INT-FAQ-A012-P3,pay monthly,活动权益,reply,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,conditional,P0,FAQ-A012,faq_paraphrase
INT-FAQ-A012-P4,can I pay in installments,活动权益,reply,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,conditional,P0,FAQ-A012,faq_paraphrase
INT-FAQ-A013,到店有什么礼品？,活动权益,reply,在发布期间（7月13日至19日）访问任何参与活动的Infin,conditional,P0,FAQ-A013,faq
INT-FAQ-A013-P1,store gift,活动权益,reply,在发布期间（7月13日至19日）访问任何参与活动的Infin,conditional,P0,FAQ-A013,faq_paraphrase
INT-FAQ-A013-P2,walk-in gift,活动权益,reply,在发布期间（7月13日至19日）访问任何参与活动的Infin,conditional,P0,FAQ-A013,faq_paraphrase
INT-FAQ-A013-P3,free gift,活动权益,reply,在发布期间（7月13日至19日）访问任何参与活动的Infin,conditional,P0,FAQ-A013,faq_paraphrase
INT-FAQ-A013-P4,in-store promotion,活动权益,reply,在发布期间（7月13日至19日）访问任何参与活动的Infin,conditional,P0,FAQ-A013,faq_paraphrase
INT-FAQ-A014,提机需要带什么？,提机相关,reply,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq
INT-FAQ-A014-P1,what to bring,提机相关,reply,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq_paraphrase
INT-FAQ-A014-P2,pickup requirements,提机相关,reply,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq_paraphrase
INT-FAQ-A014-P3,ID,提机相关,reply,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq_paraphrase
INT-FAQ-A014-P4,documents needed,提机相关,reply,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq_paraphrase
INT-FAQ-A015,可以换门店提机吗？,提机相关,handoff,,true,P0,FAQ-A015,faq
INT-FAQ-A015-P1,change store,提机相关,handoff,,true,P0,FAQ-A015,faq_paraphrase
INT-FAQ-A015-P2,different store,提机相关,handoff,,true,P0,FAQ-A015,faq_paraphrase
INT-FAQ-A015-P3,transfer,提机相关,handoff,,true,P0,FAQ-A015,faq_paraphrase
INT-FAQ-A015-P4,switch pickup location,提机相关,handoff,,true,P0,FAQ-A015,faq_paraphrase
INT-FAQ-A016,我所在的城市有门店吗？,门店相关,handoff,,true,P0,FAQ-A016,faq
INT-FAQ-A016-P1,my city,门店相关,handoff,,true,P0,FAQ-A016,faq_paraphrase
INT-FAQ-A016-P2,available cities,门店相关,handoff,,true,P0,FAQ-A016,faq_paraphrase
INT-FAQ-A016-P3,coverage,门店相关,handoff,,true,P0,FAQ-A016,faq_paraphrase
INT-FAQ-A016-P4,is there a store near me,门店相关,handoff,,true,P0,FAQ-A016,faq_paraphrase
INT-FAQ-A017,HOT 70 Pro是正品吗？有保修吗？,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq
INT-FAQ-A017-P1,warranty,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq_paraphrase
INT-FAQ-A017-P2,genuine,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq_paraphrase
INT-FAQ-A017-P3,original,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq_paraphrase
INT-FAQ-A017-P4,authentic,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq_paraphrase
INT-FAQ-A017-P5,is it real,官方身份,reply,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq_paraphrase
INT-FAQ-A018,我想取消预订,人工兜底,handoff,,true,P0,FAQ-A018,faq
INT-FAQ-A018-P1,cancel,人工兜底,handoff,,true,P0,FAQ-A018,faq_paraphrase
INT-FAQ-A018-P2,remove,人工兜底,handoff,,true,P0,FAQ-A018,faq_paraphrase
INT-FAQ-A018-P3,delete booking,人工兜底,handoff,,true,P0,FAQ-A018,faq_paraphrase
INT-FAQ-A018-P4,I don't want it anymore,人工兜底,handoff,,true,P0,FAQ-A018,faq_paraphrase
INT-FAQ-A019,我要投诉/反馈问题,人工兜底,handoff,,true,P0,FAQ-A019,faq
INT-FAQ-A019-P1,complaint,人工兜底,handoff,,true,P0,FAQ-A019,faq_paraphrase
INT-FAQ-A019-P2,issue,人工兜底,handoff,,true,P0,FAQ-A019,faq_paraphrase
INT-FAQ-A019-P3,problem,人工兜底,handoff,,true,P0,FAQ-A019,faq_paraphrase
INT-FAQ-A019-P4,not satisfied,人工兜底,handoff,,true,P0,FAQ-A019,faq_paraphrase
INT-FAQ-A019-P5,escalate,人工兜底,handoff,,true,P0,FAQ-A019,faq_paraphrase
INT-FAQ-A020,到店后无法提机,人工兜底,handoff,,true,P0,FAQ-A020,faq
INT-FAQ-A020-P1,can't pickup,人工兜底,handoff,,true,P0,FAQ-A020,faq_paraphrase
INT-FAQ-A020-P2,store refused,人工兜底,handoff,,true,P0,FAQ-A020,faq_paraphrase
INT-FAQ-A020-P3,no stock at store,人工兜底,handoff,,true,P0,FAQ-A020,faq_paraphrase
INT-FAQ-A020-P4,pickup failed,人工兜底,handoff,,true,P0,FAQ-A020,faq_paraphrase
INT-FAQ-A021,HOT70 Pro 5G多少钱？,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq
INT-FAQ-A021-P1,price,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq_paraphrase
INT-FAQ-A021-P2,how much,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq_paraphrase
INT-FAQ-A021-P3,total price,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq_paraphrase
INT-FAQ-A021-P4,campaign price,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq_paraphrase
INT-FAQ-A021-P5,phone price,产品信息,reply,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",conditional,P0,FAQ-A021,faq_paraphrase
INT-FAQ-A022,订金在哪里付,活动规则,reply,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",conditional,P0,FAQ-A022,faq
INT-FAQ-A022-P1,where to pay deposit,活动规则,reply,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",conditional,P0,FAQ-A022,faq_paraphrase
INT-FAQ-A022-P2,deposit payment,活动规则,reply,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",conditional,P0,FAQ-A022,faq_paraphrase
INT-FAQ-A022-P3,pay at store,活动规则,reply,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",conditional,P0,FAQ-A022,faq_paraphrase
INT-FAQ-A022-P4,offline deposit,活动规则,reply,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",conditional,P0,FAQ-A022,faq_paraphrase
INT-FAQ-A023,提机时还要付多少钱？,提机相关,reply,最终付款金额请以所选门店确认为准。,conditional,P0,FAQ-A023,faq
INT-FAQ-A023-P1,remaining balance,提机相关,reply,最终付款金额请以所选门店确认为准。,conditional,P0,FAQ-A023,faq_paraphrase
INT-FAQ-A023-P2,how much to pay at pickup,提机相关,reply,最终付款金额请以所选门店确认为准。,conditional,P0,FAQ-A023,faq_paraphrase
INT-FAQ-A023-P3,balance payment,提机相关,reply,最终付款金额请以所选门店确认为准。,conditional,P0,FAQ-A023,faq_paraphrase
INT-FAQ-A023-P4,pay when collect,提机相关,reply,最终付款金额请以所选门店确认为准。,conditional,P0,FAQ-A023,faq_paraphrase
INT-FAQ-A024,如果只线上填了信息，算预订成功吗？,活动规则,reply,在线提交信息只是完成预订意向登记，,conditional,P0,FAQ-A024,faq
INT-FAQ-A024-P1,is online submission enough,活动规则,reply,在线提交信息只是完成预订意向登记，,conditional,P0,FAQ-A024,faq_paraphrase
INT-FAQ-A024-P2,booking confirmed,活动规则,reply,在线提交信息只是完成预订意向登记，,conditional,P0,FAQ-A024,faq_paraphrase
INT-FAQ-A024-P3,pre-booking successful,活动规则,reply,在线提交信息只是完成预订意向登记，,conditional,P0,FAQ-A024,faq_paraphrase
INT-FAQ-A024-P4,only submitted form,活动规则,reply,在线提交信息只是完成预订意向登记，,conditional,P0,FAQ-A024,faq_paraphrase
