id,input,category,expected_facts,should_handoff,priority,rule_id,source
KB-FAQ-A035,免单是什么意思？是免费送手机吗？,BEN,免单指退还你购买 HOT70 Pro的实付购机款,false,P0,FAQ-A035,faq
KB-FAQ-A036,一共抽几个名额？,BEN,大奖一名,false,P0,FAQ-A036,faq
KB-FAQ-A037,怎样才有资格参加抽奖？,BEN,需同时满足：① 活动期内完成 HOT70 Pro 线上预订；,false,P0,FAQ-A037,faq
KB-FAQ-A038,只加了 WhatsApp 能参加抽奖吗？,BEN,不能。加 WhatsApp 只是第一步，还需购买,false,P0,FAQ-A038,faq
KB-FAQ-A039,只预订没提机能参加吗？,BEN,不能。必须完成到店提机并回传凭证，才正式获得抽奖,false,P0,FAQ-A039,faq
KB-FAQ-A040,买别的机型能参加吗？,BEN,不能，本活动仅限指定机型 Infinix HOT,false,P0,FAQ-A040,faq
KB-FAQ-A041,活动期之外买的算吗？,BEN,不算。须在 7 月 8 日至 7 月 19 日活,false,P0,FAQ-A041,faq
KB-FAQ-A042,发预定订单截图就能抽奖了吗？,BEN,发订单截图只是先“锁定”抽奖资格，还需完成到店提,false,P0,FAQ-A042,faq
KB-FAQ-A043,怎么正式获得抽奖名额？,BEN,到店提机后，把你和新机的露脸合照发给客服，即可进,false,P0,FAQ-A043,faq
KB-FAQ-A044,为什么要发露脸照片？不发可以吗？,BEN,用于核验你确实本人完成了提机，保证活动公平。可以,false,P0,FAQ-A044,faq
KB-FAQ-A045,一个人能有几个抽奖名额？,BEN,每成功购买并提机一台 HOT70 Pro、完成回,false,P0,FAQ-A045,faq
KB-FAQ-A046,怎么预订 HOT70 Pro？,BEN,可以点击链接下单：https://hk-paas.trans,false,P0,FAQ-A046,faq
KB-FAQ-A047,预订后多久能提机？,BEN,到货后客服会第一时间通知你到店提机。,false,P0,FAQ-A047,faq
KB-FAQ-A048,订单截图在哪里找？,BEN,在你提交预订的确认页面/信息里可找到，发给客服即,false,P0,FAQ-A048,faq
KB-FAQ-A049,可以预约到店时间吗？,BEN,可以，把方便的时间告诉客服，帮你留货、减少排队。,false,P0,FAQ-A049,faq
KB-FAQ-A050,到店立减券是什么？怎么用？,BEN,是一张到店购机抵扣券（券码形式）；到店时把券码报,false,P0,FAQ-A050,faq
KB-FAQ-A051,券码可以转给别人吗？,BEN,不可以，券码一码一用、绑定本人，过期作废。,false,P0,FAQ-A051,faq
KB-FAQ-A052,邀请好友有什么好处？,BEN,把专属链接发给朋友，朋友买 HOT70 Pro ,false,P0,FAQ-A052,faq
KB-FAQ-A053,什么时候开奖？,BEN,2026 年 7 月 20 日开奖。,false,P0,FAQ-A053,faq
KB-FAQ-A054,怎么开奖？公平吗？,BEN,主办方在后台从所有合格名额中随机抽取 1 名，全,false,P0,FAQ-A054,faq
KB-FAQ-A055,中奖后怎么领奖？,BEN,收到通知后在规定时间内回复确认，并配合核验身份与,false,P0,FAQ-A055,faq
KB-FAQ-A056,中奖后退货还能拿免单吗？,BEN,不能。中奖后若退货/退款致购买不成立，将取消中奖,false,P0,FAQ-A056,faq
KB-FAQ-A057,线上免单活动是真的吗？会不会是骗人的？,BEN,线上免单是官方活动，开奖公开透明。,false,P0,FAQ-A057,faq
KB-FAQ-A058,HOT 70 Pro 的 RAM 和存储是多少？,PROD,HOT 70 Pro 5G 配备 8GB RAM + 128,false,P0,FAQ-A058,faq
KB-FAQ-A059,HOT 70 Pro 屏幕多大？分辨率多少？,PROD,HOT 70 Pro 5G 配备大屏，支持 144Hz 高刷,false,P0,FAQ-A059,faq
KB-FAQ-A060,充电功率多大？充满要多久？,PROD,HOT 70 Pro 5G 配备 6000mAh,false,P0,FAQ-A060,faq
KB-FAQ-A061,出厂系统版本是什么？支持 Google 服务吗？,PROD,HOT 70 Pro 5G 搭载最新 Android 系统，,false,P0,FAQ-A061,faq
KB-FAQ-A062,保修期多长？,OFF,HOT 70 Pro 5G 享有标准 1 年制造商保修，涵盖,false,P0,FAQ-A062,faq
KB-FAQ-A063,售后服务中心在哪里？,STORE,Infinix 在各大城市均设有授权服务中心。要查找最近的服,true,P0,FAQ-A063,faq
KB-FAQ-A064,手机出问题怎么办？,OFF,如果您的 HOT 70 Pro 5G 出现任何问题，请携带设,false,P0,FAQ-A064,faq
KB-FAQ-A065,门店支持哪些付款方式？,ACT,付款方式因门店而异。大多数 Infinix 门店接受现金、银,false,P0,FAQ-A065,faq
KB-FAQ-A066,支持送货上门吗？,PICK,目前预购需要在所选 Infinix 门店到店取货。预购暂不支,false,P0,FAQ-A066,faq
KB-FAQ-A067,预购福利和免单活动能同时参加吗？,BEN,可以！预购福利和线上免单抽奖是两个独立活动。如果您预购 HO,false,P0,FAQ-A067,faq
KB-FAQ-A068,HOT 70 Pro 和其他 Infinix 手机有什么区别？,PROD,HOT 70 Pro 5G 是我们最新的旗舰级设备，配备 1,false,P0,FAQ-A068,faq
KB-FAQ-A069,预订后能修改手机号吗？,ACT,如果您在预订后需要修改注册手机号，请提供预订确认,true,P0,FAQ-A069,faq
KB-FAQ-A070,怎么查我的预订状态？,ACT,如需查询预订状态，请提供预订确认码，我们将为您核实预订信息。,true,P0,FAQ-A070,faq
KB-FAQ-A071,门店营业时间是什么？,STORE,门店营业时间因地点而异。大多数 Infinix 门店营业时间,false,P0,FAQ-A071,faq
KB-FAQ-A072,我去线下提机了啊，为什么说我无法提机,PICK,,false,P0,FAQ-A072,faq
KB-FAQ-A073,我为啥没办法核销hot 70 啊，店员说核销老是失败呢,PICK,,false,P0,FAQ-A073,faq
KB-FAQ-A074,我定的是 128+8，现在想换其他型号的，能不能换？,PICK,,false,P0,FAQ-A074,faq
KB-FAQ-A075,送的手表是提机的时候就给我吗,BEN,,false,P0,FAQ-A075,faq
KB-FAQ-A076,这个送的手表是啥品牌和型号呢，不会是假的吧,BEN,,false,P0,FAQ-A076,faq
KB-FAQ-A077,如果我今天不能提机，能不能让家人代提？需要带什么材料？,PICK,,false,P0,FAQ-A077,faq
KB-FAQ-A078,门店说活动结束了，但我是在活动期内下单的，还能不能提？,PICK,,false,P0,FAQ-A078,faq
KB-FAQ-A079,为什么别人同一门店能提，我不能提？资格规则到底是什么？,PICK,,false,P0,FAQ-A079,faq
KB-FAQ-A080,门店让我换另一个手机号核销，这样会不会影响我的赠品？,BEN,,false,P0,FAQ-A080,faq
KB-FAQ-A081,核销时显示型号不匹配，但我预约的就是这个型号啊,PICK,,false,P0,FAQ-A081,faq
KB-FAQ-A082,门店说手表没货，让我等，我可以换其他赠品？,BEN,,false,P0,FAQ-A082,faq
KB-FAQ-A083,我不想买了，取消后多久能退我定金？会不会影响我以后参与活动？,ACT,,false,P0,FAQ-A083,faq
KB-FAQ-A084,你们说可以换，门店说不行，那我该听谁的？,ACT,,false,P0,FAQ-A084,faq
KB-FAQ-A085,这个价格有点贵啊，多送点赠品吧,BEN,,false,P0,FAQ-A085,faq
KB-FAQ-A086,请问你们招人吗，我有个孩子要养,OTHER,,false,P0,FAQ-A086,faq
KB-FAQ-A087,滚蛋,OTHER,,false,P0,FAQ-A087,faq
KB-FAQ-A088,你说的是什么我根本不懂,OTHER,,false,P0,FAQ-A088,faq
KB-FAQ-A089,骗子,OTHER,,false,P0,FAQ-A089,faq
KB-FAQ-A090,我不在门店附近，我可以叫我朋友来帮我拿吗,PICK,,false,P0,FAQ-A090,faq
KB-FAQ-A091,（用户直接丢其他链接、视频 不回复）,OTHER,,false,P0,FAQ-A091,faq
KB-FAQ-A092,小B商家自动欢迎语,OTHER,,false,P0,FAQ-A092,faq
KB-FAQ-A093,"国外版砍一刀I received ₦450,000 , you should try it too, it's very easy!
https://myppu.buzz/FbOPwO/ng-en?0705563303645259897&s=wa&
留",OTHER,,false,P0,FAQ-A093,faq
KB-FAQ-A094,"*Auto Reply* 
Hey there! I am using Whatauto App.",OTHER,,false,P0,FAQ-A094,faq
KB-FAQ-A095,我会炸了你全家 阿门,OTHER,,false,P0,FAQ-A095,faq
KB-FAQ-A096,发色情表情包,OTHER,,false,P0,FAQ-A096,faq
KB-FAQ-A097,为什么你得英语那么塑料,OTHER,,false,P0,FAQ-A097,faq
KB-FAQ-A098,我意思是你说的都是废话对我没用,OTHER,,false,P0,FAQ-A098,faq
KB-FAQ-A099,Ur father and ur family mumu,OTHER,,false,P0,FAQ-A099,faq
