id,input,expected_action,reason,should_handoff,priority,rule_id,source
HO-FAQ-A023-C02,store amount is inconsistent,handoff,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,true,P0,FAQ-A023,faq_condition
HO-FAQ-A023-C03,there is a payment dispute,handoff,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,true,P0,FAQ-A023,faq_condition
HO-FAQ-A023-C04,用户已享受其他优惠,handoff,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,true,P0,FAQ-A023,faq_condition
HO-FAQ-A023-C05,门店金额不一致,handoff,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,true,P0,FAQ-A023,faq_condition
HO-FAQ-A024-C01,Transfer to human when user has submitted but the store cannot find the record,handoff,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,true,P0,FAQ-A024,faq_condition
HO-FAQ-A024-C02,no confirmation message received,handoff,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,true,P0,FAQ-A024,faq_condition
HO-FAQ-A024-C03,asking whether the slot can be reserved,handoff,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,true,P0,FAQ-A024,faq_condition
HO-FAQ-A024-C04,用户已提交但门店查不到记录,handoff,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,true,P0,FAQ-A024,faq_condition
HO-FAQ-A024-C05,没收到确认信息,handoff,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,true,P0,FAQ-A024,faq_condition
HO-FAQ-A025-C01,Transfer to human when user asks whether it can be extended,handoff,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,true,P0,FAQ-A025,faq_condition
HO-FAQ-A025-C02,whether the store can reserve a slot,handoff,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,true,P0,FAQ-A025,faq_condition
HO-FAQ-A025-C03,the booking period has passed,handoff,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,true,P0,FAQ-A025,faq_condition
HO-FAQ-A025-C04,用户问是否可延期,handoff,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,true,P0,FAQ-A025,faq_condition
HO-FAQ-A025-C05,门店是否能保留名额,handoff,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,true,P0,FAQ-A025,faq_condition
HO-FAQ-A026-C01,Transfer to human when user asks which payment methods the store supports,handoff,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,true,P0,FAQ-A026,faq_condition
HO-FAQ-A026-C02,payment fails,handoff,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,true,P0,FAQ-A026,faq_condition
HO-FAQ-A026-C03,requests online transfer,handoff,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,true,P0,FAQ-A026,faq_condition
HO-FAQ-A026-C04,用户询问门店支持哪些付款方式,handoff,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,true,P0,FAQ-A026,faq_condition
HO-FAQ-A026-C05,支付失败,handoff,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,true,P0,FAQ-A026,faq_condition
HO-FAQ-A027-C01,Transfer to human for multi-unit purchases,handoff,多台购买、团购、批量采购、门店特殊处理时转人工。,true,P0,FAQ-A027,faq_condition
HO-FAQ-A027-C02,group buying,handoff,多台购买、团购、批量采购、门店特殊处理时转人工。,true,P0,FAQ-A027,faq_condition
HO-FAQ-A027-C03,bulk procurement,handoff,多台购买、团购、批量采购、门店特殊处理时转人工。,true,P0,FAQ-A027,faq_condition
HO-FAQ-A027-C04,special store handling,handoff,多台购买、团购、批量采购、门店特殊处理时转人工。,true,P0,FAQ-A027,faq_condition
HO-FAQ-A027-C05,多台购买,handoff,多台购买、团购、批量采购、门店特殊处理时转人工。,true,P0,FAQ-A027,faq_condition
HO-FAQ-A028-C01,Transfer to human when user strongly requests a specific color,handoff,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,true,P0,FAQ-A028,faq_condition
HO-FAQ-A028-C02,inquires about specific store color inventory,handoff,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,true,P0,FAQ-A028,faq_condition
HO-FAQ-A028-C03,complains about color inconsistency,handoff,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,true,P0,FAQ-A028,faq_condition
HO-FAQ-A028-C04,用户强烈要求某一颜色,handoff,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,true,P0,FAQ-A028,faq_condition
HO-FAQ-A028-C05,查询具体门店颜色库存,handoff,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,true,P0,FAQ-A028,faq_condition
HO-FAQ-A029-C01,Transfer to human when user asks about gift model,handoff,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,true,P0,FAQ-A029,faq_condition
HO-FAQ-A029-C02,color,handoff,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,true,P0,FAQ-A029,faq_condition
HO-FAQ-A029-C03,inventory,handoff,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,true,P0,FAQ-A029,faq_condition
HO-FAQ-A029-C04,whether it is guaranteed,handoff,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,true,P0,FAQ-A029,faq_condition
HO-FAQ-A029-C05,whether it can be exchanged,handoff,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,true,P0,FAQ-A029,faq_condition
HO-FAQ-A030-C01,Transfer to human when user asks how long activation takes,handoff,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,true,P0,FAQ-A030,faq_condition
HO-FAQ-A030-C02,gift not received,handoff,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,true,P0,FAQ-A030,faq_condition
HO-FAQ-A030-C03,store refuses to give gift,handoff,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,true,P0,FAQ-A030,faq_condition
HO-FAQ-A030-C04,SIM activation is abnormal,handoff,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,true,P0,FAQ-A030,faq_condition
HO-FAQ-A030-C05,用户问激活多久生效,handoff,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,true,P0,FAQ-A030,faq_condition
HO-FAQ-A031-C01,Transfer to human when user disputes activation rules,handoff,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,true,P0,FAQ-A031,faq_condition
HO-FAQ-A031-C02,SIM activation fails,handoff,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,true,P0,FAQ-A031,faq_condition
HO-FAQ-A031-C03,there is a gift eligibility dispute,handoff,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,true,P0,FAQ-A031,faq_condition
HO-FAQ-A031-C04,用户对激活规则有异议,handoff,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,true,P0,FAQ-A031,faq_condition
HO-FAQ-A031-C05,SIM 激活失败,handoff,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,true,P0,FAQ-A031,faq_condition
HO-FAQ-A032-C01,Transfer to a human agent when the user asks whether a specific store is IBP,handoff,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,true,P0,FAQ-A032,faq_condition
HO-FAQ-A032-C02,IBO,handoff,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,true,P0,FAQ-A032,faq_condition
HO-FAQ-A032-C03,asks about store qualifications,handoff,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,true,P0,FAQ-A032,faq_condition
HO-FAQ-A032-C04,用户询问具体门店是否属于 IBP,handoff,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,true,P0,FAQ-A032,faq_condition
HO-FAQ-A032-C05,门店资质时,handoff,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,true,P0,FAQ-A032,faq_condition
HO-FAQ-A059-C01,User inquiries about specific size parameters,handoff,用户询问具体尺寸参数、分辨率数值时转人工。,true,P0,FAQ-A059,faq_condition
HO-FAQ-A059-C02,resolution values should be transferred to a human agent,handoff,用户询问具体尺寸参数、分辨率数值时转人工。,true,P0,FAQ-A059,faq_condition
HO-FAQ-A059-C03,用户询问具体尺寸参数,handoff,用户询问具体尺寸参数、分辨率数值时转人工。,true,P0,FAQ-A059,faq_condition
HO-FAQ-A059-C04,分辨率数值时,handoff,用户询问具体尺寸参数、分辨率数值时转人工。,true,P0,FAQ-A059,faq_condition
HO-FAQ-A060-C01,User inquiries about specific wattage,handoff,用户询问具体瓦数、充电时长时转人工。,true,P0,FAQ-A060,faq_condition
HO-FAQ-A060-C02,charging time should be transferred to a human agent,handoff,用户询问具体瓦数、充电时长时转人工。,true,P0,FAQ-A060,faq_condition
HO-FAQ-A060-C03,用户询问具体瓦数,handoff,用户询问具体瓦数、充电时长时转人工。,true,P0,FAQ-A060,faq_condition
HO-FAQ-A060-C04,充电时长时,handoff,用户询问具体瓦数、充电时长时转人工。,true,P0,FAQ-A060,faq_condition
HO-FAQ-A062-C01,User inquiries about specific warranty coverage,handoff,用户询问具体保修范围、配件保修、延保时转人工。,true,P0,FAQ-A062,faq_condition
HO-FAQ-A062-C02,accessory warranty,handoff,用户询问具体保修范围、配件保修、延保时转人工。,true,P0,FAQ-A062,faq_condition
HO-FAQ-A062-C03,extended warranty should be transferred to a human agent,handoff,用户询问具体保修范围、配件保修、延保时转人工。,true,P0,FAQ-A062,faq_condition
HO-FAQ-A062-C04,用户询问具体保修范围,handoff,用户询问具体保修范围、配件保修、延保时转人工。,true,P0,FAQ-A062,faq_condition
HO-FAQ-A062-C05,配件保修,handoff,用户询问具体保修范围、配件保修、延保时转人工。,true,P0,FAQ-A062,faq_condition
HO-FAQ-A063,售后服务中心在哪里？,handoff,需确认具体城市服务网点覆盖。,true,P0,FAQ-A063,faq
HO-FAQ-A064-C01,Hardware issues that cannot be resolved remotely,handoff,远程无法解决的硬件故障、保修争议时转人工。,true,P0,FAQ-A064,faq_condition
HO-FAQ-A064-C02,warranty disputes,handoff,远程无法解决的硬件故障、保修争议时转人工。,true,P0,FAQ-A064,faq_condition
HO-FAQ-A064-C03,should be transferred to a human agent,handoff,远程无法解决的硬件故障、保修争议时转人工。,true,P0,FAQ-A064,faq_condition
HO-FAQ-A064-C04,远程无法解决的硬件故障,handoff,远程无法解决的硬件故障、保修争议时转人工。,true,P0,FAQ-A064,faq_condition
HO-FAQ-A064-C05,保修争议时,handoff,远程无法解决的硬件故障、保修争议时转人工。,true,P0,FAQ-A064,faq_condition
HO-FAQ-A065-C01,Transfer to a human agent when the user asks about payment methods supported by a specific store,handoff,用户询问特定门店支持的付款方式、支付失败时转人工。,true,P0,FAQ-A065,faq_condition
HO-FAQ-A065-C02,when payment fails,handoff,用户询问特定门店支持的付款方式、支付失败时转人工。,true,P0,FAQ-A065,faq_condition
HO-FAQ-A065-C03,用户询问特定门店支持的付款方式,handoff,用户询问特定门店支持的付款方式、支付失败时转人工。,true,P0,FAQ-A065,faq_condition
HO-FAQ-A065-C04,支付失败时,handoff,用户询问特定门店支持的付款方式、支付失败时转人工。,true,P0,FAQ-A065,faq_condition
HO-FAQ-A068-C01,Transfer to a human agent when the user needs detailed parameter comparisons,handoff,用户需要详细参数对比、选购建议时转人工。,true,P0,FAQ-A068,faq_condition
HO-FAQ-A068-C02,purchase advice,handoff,用户需要详细参数对比、选购建议时转人工。,true,P0,FAQ-A068,faq_condition
HO-FAQ-A068-C03,用户需要详细参数对比,handoff,用户需要详细参数对比、选购建议时转人工。,true,P0,FAQ-A068,faq_condition
HO-FAQ-A068-C04,选购建议时,handoff,用户需要详细参数对比、选购建议时转人工。,true,P0,FAQ-A068,faq_condition
HO-FAQ-A069,预订后能修改手机号吗？,handoff,修改注册信息需人工处理。,true,P0,FAQ-A069,faq
HO-FAQ-A070,怎么查我的预订状态？,handoff,需人工查询后台预订记录。,true,P0,FAQ-A070,faq
HO-FAQ-A071-C01,Transfer to a human agent when the user asks about the business hours of a specific store,handoff,用户询问特定门店营业时间时转人工。,true,P0,FAQ-A071,faq_condition
HO-FAQ-A071-C02,用户询问特定门店营业时间时,handoff,用户询问特定门店营业时间时转人工。,true,P0,FAQ-A071,faq_condition
