序号,用户问题（用户实际使用语种）,分类,相似问法,业务反馈,回复中文翻译,是否需要转人工,转人工条件/备注,状态
,预订后下一步做什么？,活动规则,after booking / what next / confirmation / next step,"After successful pre-order, you will receive:
✅ A pickup confirmation code via SMS
✅ A reminder before the pickup date

On pickup day, visit your selected store with your confirmation code & valid ID to collect your HOT 70 Pro 5G!","成功预订后，您将收到：
✅ 通过短信发送的取货确认码
✅ 取货日期前的提醒

取货当天，请携带确认码和有效身份证件前往您选择的门店，领取您的HOT 70 Pro 5G！",否,—,已确认
,支持分期付款吗？,活动权益,installment / EMI / pay monthly / can I pay in installments,Yes! HOT 70 Pro 5G supports installment plans with options starting from 0 down payment. Available at selected Infinix stores. Ask our in-store team for details on eligible plans!,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付起。部分Infinix门店有售。请向店内工作人员咨询符合条件的计划详情！,视情况,具体分期方案需门店确认，转人工。,已确认
,到店有什么礼品？,活动权益,store gift / walk-in gift / free gift / in-store promotion,"Visit any participating Infinix store during the launch period (July 13–19) to receive exclusive in-store gifts and promotions! Gifts are subject to availability — first come, first served.",在发布期间（7月13日至19日）访问任何参与活动的Infinix门店，即可获得独家店内礼品和促销！礼品数量有限，先到先得。,视情况,如礼品已发完、用户投诉，转人工。,待确认
,提机需要带什么？,提机规则,what to bring / pickup requirements / ID / documents needed,"To collect your HOT 70 Pro 5G, please bring:
1️⃣ Your pickup confirmation code (sent via SMS)
2️⃣ A valid government-issued ID

Make sure the name on your booking matches your ID.","领取您的HOT 70 Pro 5G时，请携带：
1️⃣ 取货确认码（通过短信发送）
2️⃣ 有效的政府签发身份证件

请确保您预订时使用的姓名与身份证件上的姓名一致。",否,—,已确认
,可以换门店提机吗？,提机规则,change store / different store / transfer / switch pickup location,"Pre-orders are tied to the store you selected during booking. If you need to change your pickup store, please reply with ""Change Pickup Store"".",预订与您在预约时选择的门店绑定。如果您需要更改取货门店，请回复“更换取货门店”。,是,门店变更需人工处理。,已确认
,我所在的城市有门店吗？,门店信息,my city / available cities / coverage / is there a store near me,"Infinix has stores across major cities. To check if there's a store near you, tap ""Find a Store"" !
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online ","传音在各大城市都有门店。要查询您附近是否有门店，请点击“查找门店”！
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online ",是,需确认具体城市覆盖情况。,已确认
,HOT 70 Pro是正品吗？有保修吗？,官方身份说明,warranty / genuine / original / authentic / is it real,"Absolutely! HOT 70 Pro 5G is a 100% genuine Infinix product with:
✅ Full manufacturer warranty
✅ Official after-sales service at Infinix service centers
✅ 3 years OS updates + 5 years security updates","当然！HOT 70 Pro 5G 是 100% 正品传音产品，具有：
✅ 完整的制造商保修
✅ 传音服务中心的官方售后服务
✅ 3 年操作系统更新 + 5 年安全更新",否,—,已确认
,我想取消预订,人工兜底规则,cancel / remove / delete booking / I don't want it anymore,"To cancel your pre-order, please provide your booking confirmation code. We'll process your cancellation right away.",要取消您的预订，请提供您的预订确认码。我们将立即处理您的取消请求。,是,取消预订需人工处理。,已确认
,我要投诉/反馈问题,人工兜底规则,complaint / issue / problem / not satisfied / escalate,We take your feedback seriously. A support agent will be with you shortly to help resolve your concern. Thank you for your patience!,我们非常重视您的反馈。客服人员将很快与您联系，帮助解决您的问题。感谢您的耐心等待！,是,直接进入人工。,已确认
,到店后无法提机,人工兜底规则,can't pickup / store refused / no stock at store / pickup failed,"We apologize for the trouble. Please provide your confirmation code, and we'll coordinate with the store to resolve this for you.",我们为给您带来的麻烦深表歉意。请提供您的确认码，我们将与商店协调为您解决此问题。,是,直接进入人工，需协调门店。,已确认
,HOT70 Pro 5G多少钱？ ,HOT 70 Pro 商品信息,price / how much / total price / campaign price / phone price,"HOT 70 Pro 5G 128GB+8GB is priced at BDT 36,999.

Online pre-booking is free. After submitting your information online, please visit your selected Infinix store to pay the BDT 5,000 offline deposit and confirm your pre-order.

If you have paid the BDT 5,000 deposit, the remaining balance is BDT 31,999 and should be paid when you collect the phone.","HOT 70 Pro 5G 128GB+8GB 售价为 BDT 36,999。

线上预订免费。在线提交信息后，请前往您选择的 Infinix 门店线下支付 BDT 5,000 订金并确认预订。

如果已支付 BDT 5,000 订金，提机时需支付剩余尾款 BDT 31,999。",视情况,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,已确认
,订金在哪里付,活动规则,where to pay deposit / deposit payment / pay at store / offline deposit,"The BDT 5,000 deposit should be paid offline at your selected Infinix store.

Please bring your booking information or confirmation code when you visit the store.","BDT 5,000 订金需要在线下所选 Infinix 门店支付。

前往门店时，请携带您的预订信息或确认码。",视情况,用户询问具体门店付款方式、收据、门店无法收款时转人工。,已确认
,提机时还要付多少钱？,提机规则,remaining balance / how much to pay at pickup / balance payment / pay when collect,"The total price is BDT 36,999. If you have already paid the BDT 5,000 deposit at the store, you will need to pay the remaining BDT 31,999 when you pick up the phone.

Final payment should be confirmed with the selected store.","总价为 BDT 36,999。如果您已在门店支付 BDT 5,000 订金，提机时还需支付剩余 BDT 31,999。

最终付款金额请以所选门店确认为准。",视情况,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,已确认
,如果只线上填了信息，算预订成功吗？,活动规则,is online submission enough / booking confirmed / pre-booking successful / only submitted form,"Submitting your information online helps reserve your interest.

Your pre-order is confirmed after you visit the selected Infinix store and pay the BDT 5,000 offline deposit during the pre-order period.","在线提交信息只是完成预订意向登记，

您需要在预订期内前往所选 Infinix 门店线下支付 BDT 5,000 订金后，才算完成预订确认。",视情况,用户已提交但门店查不到记录、没收到确认信息、是否能保留名额时转人工。,已确认
,线上预订后，多久内要去门店付订金？,活动规则,when to pay deposit / how long after online booking / deposit deadline / store confirmation deadline,"Please visit your selected Infinix store during the pre-order period, July 8–12, 2026, to pay the BDT 5,000 offline deposit and confirm your pre-order.

If you do not complete the offline deposit confirmation during the pre-order period, your pre-order may not be secured.","请在预订期 2026 年 7 月 8 日至 7 月 12 日期间，前往您选择的 Infinix 门店线下支付 BDT 5,000 订金，以确认预订。

如果未在预订期内完成线下订金确认，您的预订名额可能无法保留。",视情况,用户问是否可延期、门店是否能保留名额、已错过预订期时转人工。,待确认
,订金线上能不能付？,活动规则,can I pay deposit online / online payment / pay by mobile money / pay deposit on website,"No. Online pre-booking is free and does not require online payment.

The BDT 5,000 deposit should be paid offline at your selected Infinix store to confirm the pre-order.","不能。线上预订是免费的，不需要在线支付。

BDT 5,000 订金需要在您选择的 Infinix 线下门店支付，用于确认预订。",视情况,用户询问门店支持哪些付款方式、支付失败、要求线上转账时转人工。,已确认
,可以预订几台？,活动规则,how many units / order limit / can I book more than one / quantity limit / bulk order,Each order may be limited to 1 unit under the campaign rules.,"根据活动规则，每个订单通常限预订 1 台。
",视情况,多台购买、团购、批量采购、门店特殊处理时转人工。,已确认
,选了某个颜色，门店能保证有吗？,HOT 70 Pro 商品信息,can I get selected color / color guaranteed / stock for color / chosen color available,"Color availability depends on the stock at your selected store.

Your selected color is a preference, but final availability will be confirmed at the time of pickup or delivery.","颜色是否可选取决于您所选门店的实际库存。

您在线上选择的颜色会作为偏好记录，但最终是否可提供，需要以提机或交付时门店库存为准。",视情况,用户强烈要求某一颜色、查询具体门店颜色库存、投诉颜色不一致时转人工。,已确认
,到店具体是什么礼品,活动权益,exact gift / what free gift / Smart Watch model / gift color / gift design,"The pre-order gift for this campaign is a Smart Watch, subject to stock availability and campaign rules.

Gift images are for illustration only. The actual color, model, or design may vary.","本次预订活动赠品为 Smart Watch，具体以库存和活动规则为准。

赠品图片仅供参考，实际颜色、型号或设计可能会有所不同。",视情况,用户问赠品型号、颜色、库存、是否一定有、是否可换时转人工。,已确认
,Smart Watch 怎么领取？,活动权益,how to claim Smart Watch / gift claim / receive gift / when get Smart Watch,"The Smart Watch gift will be provided after you purchase the device and successfully activate the phone .

Gift availability is subject to stock and campaign rules.","Smart Watch 赠品将在您完成购机，并在新手机上成功激活后发放。
赠品是否可领取以库存和活动规则为准。",视情况,用户问激活多久生效、赠品未收到、门店不给赠品、SIM 激活异常时转人工。,已确认
,为什么要激活才能拿赠品？,活动权益,why activation // gift eligibility / activation required,"Activation is required to confirm that the device has been purchased and used by an end customer.

The gift will be released only after successful activation on the purchased device.","需要激活，是为了确认该设备已由终端用户购买并实际使用。

赠品仅会在购买的设备成功完成 激活后发放。",视情况,用户对激活规则有异议、SIM 激活失败、赠品资格争议时转人工。,已确认
,IBP / IBO 门店是什么意思？,门店信息,what is IBP / what is IBO / authorized store / participating store,"IBP/IBO stores refer to participating Infinix authorized stores.

Your deposit confirmation, pickup, stock availability, and gift claim will be handled by the selected participating store.","IBP/IBO 门店指参与本次活动的 Infinix 授权门店。

您的订金确认、提机、库存确认和赠品领取，将由您选择的参与门店处理。",否,用户询问具体门店是否属于 IBP/IBO 或门店资质时转人工。,已确认
,线上抽奖/免单这是什么活动？,私域侧活动,online lucky draw / free-order campaign / reimbursement prize / HOT 70 Pro draw / campaign rules,"Infinix HOT 70 Pro purchase reimbursement grand prize campaign:

During the campaign, purchase HOT 70 Pro, complete in-store pickup, and submit the required proof to join the lucky draw for a chance to win full reimbursement of the phone purchase price.",Infinix HOT70 Pro免单大奖活动：活动期内购买 HOT70 Pro并完成到店提机、回传凭证，即可参与抽奖，有机会赢得免单（退还购机款）。,,,待确认
,线上免单活动时间是什么时候？,私域侧活动,campaign period / activity dates / draw date / July 8 to July 19 / July 20 winner announcement,"The campaign period is from 00:00 on July 8, 2026 to 00:00 on July 19, 2026.

The winner announcement date is July 20, 2026.",活动期为 2026 年 7 月 8 日 0 点至 7 月 19 日 0 点；开奖日为 7 月 20 日。,,,待确认
,免单是什么意思？是免费送手机吗？,私域侧活动,free order meaning / full reimbursement / free phone / refund after winning / not free upfront,"""Free order"" means the actual amount you paid to purchase HOT 70 Pro will be refunded if you win.

You still need to purchase the phone first. The prize is a refund after winning, not a free phone given upfront.",免单指退还你购买 HOT70 Pro的实付购机款。需先正常购买，中奖后退款，并非直接免费送。,,,待确认
,一共抽几个名额？,私域侧活动,number of winners / prize quota / grand prize / how many slots / one winner,There is 1 grand prize winner.,大奖一名,,,待确认
,怎样才有资格参加抽奖？,私域侧活动,draw eligibility / how to qualify / online pre-order / store pickup / WhatsApp support / specified model,"To qualify, you must meet all of the following requirements:
1. Complete HOT 70 Pro online pre-order during the campaign period.
2. Complete in-store pickup.
3. Add the official WhatsApp customer service account.
4. Purchase the specified model, HOT 70 Pro.",需同时满足：① 活动期内完成 HOT70 Pro 线上预订；② 到店完成提机；③ 添加官方 WhatsApp 客服；④ 所购为指定机型 HOT70 Pro。,,,待确认
,只加了 WhatsApp 能参加抽奖吗？,私域侧活动,WhatsApp only / can I join by adding WhatsApp / purchase required / pickup required,"No. Adding WhatsApp is only the first step.

You must also purchase HOT 70 Pro and complete in-store pickup to qualify for the lucky draw.",不能。加 WhatsApp 只是第一步，还需购买HOT 70 Pro 并完成到店提机才有资格。,,,待确认
,只预订没提机能参加吗？,私域侧活动,pre-order only / no pickup / draw eligibility / must collect phone / proof required,No. You must complete in-store pickup and submit the required proof before you officially receive a lucky draw entry.,不能。必须完成到店提机并回传凭证，才正式获得抽奖名额。,,,待确认
,买别的机型能参加吗？,私域侧活动,other model eligibility / specified model only / HOT 70 Pro only / excluded models,"No. This campaign is only for the specified model, Infinix HOT 70 Pro.",不能，本活动仅限指定机型 Infinix HOT70 Pro。,,,待确认
,活动期之外买的算吗？,私域侧活动,outside campaign period / purchase date / valid period / July 8 to July 19 / eligible purchase,"No. The purchase and pickup must be completed during the campaign period, from July 8 to July 19.",不算。须在 7 月 8 日至 7 月 19 日活动期内购买并完成提机。,,,待确认
,发预定订单截图就能抽奖了吗？,私域侧活动,order screenshot / pre-order screenshot / lock eligibility / draw entry / pickup still required,"Sending a pre-order screenshot only helps lock your lucky draw eligibility.

You still need to complete in-store pickup before you officially enter the lucky draw pool.",发订单截图只是先“锁定”抽奖资格，还需完成到店提机后才正式进入抽奖池。,,,待确认
,怎么正式获得抽奖名额？,私域侧活动,official draw entry / how to enter draw pool / pickup proof / selfie with phone / submit proof,"After completing in-store pickup, send customer service a clear selfie showing you and the new phone. You will then enter the lucky draw pool.",到店提机后，把你和新机的露脸合照发给客服，即可进入抽奖池。,,,待确认
,为什么要发露脸照片？不发可以吗？,私域侧活动,face photo / selfie required / privacy / pickup verification / alternative proof / phone number,"The face photo is used to verify that you personally completed pickup and to keep the campaign fair.

If you do not want to send a face photo, you may use other pickup proof and the ordering phone number instead.",用于核验你确实本人完成了提机，保证活动公平。可以用其提机凭证和下单手机号代替。,,,待确认
,一个人能有几个抽奖名额？,私域侧活动,number of draw entries / one entry per phone / multiple phones / duplicate order,"Each successfully purchased and picked-up HOT 70 Pro, with proof submitted, gives you 1 lucky draw entry.

The same order will not be counted repeatedly.",每成功购买并提机一台 HOT70 Pro、完成回传，得 1 个名额；同一订单不重复计算。,,,待确认
,怎么预订 HOT70 Pro？,私域侧活动,how to pre-order HOT 70 Pro / booking link / place order / send screenshot / lock draw entry,"You can place your order through this link:
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online

After placing the order, send a screenshot to customer service so we can help lock your lucky draw eligibility.",可以点击链接下单：https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online ，下了发截图给我为你锁定抽奖名额~,,,待确认
,预订后多久能提机？,私域侧活动,pickup after pre-order / when can collect / arrival notice / support notification / store pickup,"After the phone arrives, customer service will notify you as soon as possible to pick it up at the store.",到货后客服会第一时间通知你到店提机。,,,待确认
,订单截图在哪里找？,私域侧活动,where to find order screenshot / confirmation page / booking confirmation / send to support,"You can find the order screenshot on the confirmation page or in the information shown after submitting your pre-order.

Send it to customer service to lock your eligibility.",在你提交预订的确认页面/信息里可找到，发给客服即可锁定资格。,,,待确认
,可以预约到店时间吗？,私域侧活动,store appointment / reserve pickup time / avoid queue / reserve stock / preferred visit time,Yes. Tell customer service your preferred visit time. We can help reserve stock for you and reduce waiting time.,可以，把方便的时间告诉客服，帮你留货、减少排队。,,,待确认
,到店立减券是什么？怎么用？,私域侧活动,in-store coupon / instant discount coupon / coupon code / how to use coupon / store discount,"It is an in-store purchase discount coupon in the form of a coupon code.

When you visit the store, show the coupon code to the staff to deduct [coupon amount].",是一张到店购机抵扣券（券码形式）；到店时把券码报给店员，即可抵扣 [立减券面额]。,,,待确认
,券码可以转给别人吗？,私域侧活动,transfer coupon / share coupon / one code one use / personal coupon / expired coupon,"No. The coupon code cannot be transferred.

Each code can be used only once, is bound to the original user, and will expire after the validity period.",不可以，券码一码一用、绑定本人，过期作废。,,,待确认
,邀请好友有什么好处？,私域侧活动,invite friends / referral benefit / referral link / friend purchase / both get coupon,"Share your exclusive link with a friend.

After your friend buys HOT 70 Pro and completes in-store pickup, both you and your friend can each receive a coupon.",把专属链接发给朋友，朋友买 HOT70 Pro 并到店提机后，你和朋友都能各得一张券。,,,待确认
,什么时候开奖？,私域侧活动,draw date / winner announcement / July 20 / when results / lottery date,"The winner will be announced on July 20, 2026.",2026 年 7 月 20 日开奖。,,,待确认
,怎么开奖？公平吗？,私域侧活动,how draw works / fair draw / random selection / public draw / screen recording / announcement,"The organizer will randomly select 1 winner from all qualified entries in the backend.

The process will be open and transparent, such as through screen recording or public announcement.",主办方在后台从所有合格名额中随机抽取 1 名，全程公开透明（录屏/公示）。,,,待确认
,中奖后怎么领奖？,私域侧活动,claim prize / winner confirmation / identity check / purchase proof / reimbursement,"After receiving the winner notification, please reply within the required time and cooperate with identity and purchase proof verification.

The reimbursement prize will then be refunded to you.",收到通知后在规定时间内回复确认，并配合核验身份与购机凭证，免单款将退还给你。,,,待确认
,中奖后退货还能拿免单吗？,私域侧活动,return after winning / refund after winning / prize cancellation / invalid purchase / reward recovery,"No. If the purchase becomes invalid because of return or refund after winning, the winner qualification will be cancelled and the reward will be recovered.",不能。中奖后若退货/退款致购买不成立，将取消中奖资格并追回奖励。,,,待确认
,线上免单活动是真的吗？会不会是骗人的？,私域侧活动,is campaign real / scam or official / online free-order legit / official rules / transparency,"Yes. The online purchase reimbursement campaign is an official campaign, and the winner announcement will be open and transparent.",线上免单是官方活动，开奖公开透明。,,,待确认
,HOT 70 Pro 的 RAM 和存储是多少？,HOT 70 Pro 商品信息,RAM / ROM / storage / memory size / 128GB,HOT 70 Pro 5G comes with 8GB RAM + 128GB storage. It also supports virtual RAM expansion for smoother multitasking.,HOT 70 Pro 5G 配备 8GB RAM + 128GB 存储空间，还支持虚拟内存扩展，实现更流畅的多任务处理。,否,,已确认
,HOT 70 Pro 屏幕多大？分辨率多少？,HOT 70 Pro 商品信息,screen size / display / resolution / inch,HOT 70 Pro 5G features a large display with 144Hz high refresh rate and 960 nits peak brightness for an immersive viewing experience. ,HOT 70 Pro 5G 配备大屏，支持 144Hz 高刷新率和 960 尼特峰值亮度，带来沉浸式视觉体验。,视情况,用户询问具体尺寸参数、分辨率数值时转人工。,已确认
,充电功率多大？充满要多久？,HOT 70 Pro 商品信息,charging speed / watt / fast charge / charging time / full charge,HOT 70 Pro 5G comes with a 6000mAh battery with fast charging support. ,HOT 70 Pro 5G 配备 6000mAh 电池，支持快速充电。,视情况,用户询问具体瓦数、充电时长时转人工。,已确认
,出厂系统版本是什么？支持 Google 服务吗？,HOT 70 Pro 商品信息,Android version / OS / Google Play / GMS / software,"HOT 70 Pro 5G comes with the latest Android system and supports full Google Mobile Services (GMS), including Google Play Store, Gmail, YouTube, and more. It also receives 3 years of OS updates and 5 years of security updates.",HOT 70 Pro 5G 搭载最新 Android 系统，完全支持 Google 移动服务（GMS），包括 Google Play 商店、Gmail、YouTube 等。同时享有 3 年系统更新和 5 年安全更新。,否,,已确认
,保修期多长？,官方身份说明,warranty period / how long warranty / guarantee,HOT 70 Pro 5G comes with a standard 1-year manufacturer warranty covering hardware defects. Accessories may have separate warranty terms. ,HOT 70 Pro 5G 享有标准 1 年制造商保修，涵盖硬件缺陷。配件可能有单独的保修条款。,视情况,用户询问具体保修范围、配件保修、延保时转人工。,已确认
,售后服务中心在哪里？,门店信息,service center / repair shop / after-sales / fix my phone,"Infinix has authorized service centers across major cities. To find the nearest service center, tap ""Find a Store"" or send us your location via WhatsApp and we'll help you locate the closest one!
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online","Infinix 在各大城市均设有授权服务中心。要查找最近的服务中心，请点击""查找门店""或通过 WhatsApp 发送您的位置，我们将帮助您找到最近的服务网点！
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",是,需确认具体城市服务网点覆盖。,已确认
,手机出问题怎么办？,官方身份说明,phone broken / not working / issue / problem / defect / malfunction,"If you experience any issues with your HOT 70 Pro 5G, please visit any authorized Infinix service center with your device and proof of purchase. Our after-sales team will assist you with diagnosis and repair under warranty. ",如果您的 HOT 70 Pro 5G 出现任何问题，请携带设备和购买凭证前往任何 Infinix 授权服务中心。我们的售后团队将在保修范围内为您提供诊断和维修服务。,视情况,远程无法解决的硬件故障、保修争议时转人工。,已确认
,门店支持哪些付款方式？,活动规则,payment method / bKash / Nagad / cash / card / how to pay,"Payment methods may vary by store. Most Infinix stores accept cash, bank card, and mobile financial services (e.g., bKash, Nagad). For specific payment options at your selected store, please contact support or visit the store directly.",付款方式因门店而异。大多数 Infinix 门店接受现金、银行卡和移动金融服务（如 bKash、Nagad）。如需了解您所选择门店的具体付款方式，请联系客服或直接到店咨询。,视情况,用户询问特定门店支持的付款方式、支付失败时转人工。,已确认
,支持送货上门吗？,提机规则,home delivery / shipping / deliver to my address / courier,"Currently, pre-orders require in-store pickup at your selected Infinix store. Home delivery is not available for pre-order bookings. Please visit your selected store during the pickup period (July 13–19) to collect your device.",目前预购需要在所选 Infinix 门店到店取货。预购暂不支持送货上门。请在取货期（7月13日–19日）前往所选门店领取设备。,否,,待确认
,预购福利和免单活动能同时参加吗？,私域侧活动,both campaigns / stack benefits / pre-order + lucky draw / combine,"Yes! The pre-order benefits and the online purchase reimbursement lucky draw are separate campaigns. If you pre-order HOT 70 Pro, complete pickup, and submit the required proof during the campaign period, you can enjoy both pre-order gifts and enter the reimbursement lucky draw. ",可以！预购福利和线上免单抽奖是两个独立活动。如果您预购 HOT 70 Pro、完成提机并在活动期间提交所需凭证，您可以同时享受预购赠品并参与免单抽奖。,否,,待确认
,HOT 70 Pro 和其他 Infinix 手机有什么区别？,HOT 70 Pro 商品信息,compare / vs / difference / other models / which is better,"HOT 70 Pro 5G is our latest flagship-level device featuring 144Hz display, SONY camera system, IP68/IP69 protection, 6000mAh battery, color-changing design, and DIY Cube LED. ",HOT 70 Pro 5G 是我们最新的旗舰级设备，配备 144Hz 显示屏、索尼影像系统、IP68/IP69 防护、6000mAh 电池、变色设计和 DIY 立方体 LED。,视情况,用户需要详细参数对比、选购建议时转人工。,已确认
,预订后能修改手机号吗？,活动规则,change phone number / update number / modify contact / wrong number,"If you need to update your registered phone number after pre-ordering, please provide your booking confirmation code. Our team will assist you with the update.",如果您在预订后需要修改注册手机号，请提供预订确认码，我们的团队将协助您更新。,是,修改注册信息需人工处理。,已确认
,怎么查我的预订状态？,活动规则,check booking / my order / pre-order status / am I registered,"To check your pre-order status, please provide your booking confirmation code. We'll verify your reservation details for you.",如需查询预订状态，请提供预订确认码，我们将为您核实预订信息。,是,需人工查询后台预订记录。,已确认
,门店营业时间是什么？,门店信息,opening hours / store timing / when open / close time,"Store hours may vary by location. Most Infinix stores are open from 10:00 AM to 9:00 PM. For the exact opening hours of your selected store, please tap ""Find a Store"" .","门店营业时间因地点而异。大多数 Infinix 门店营业时间为上午 10:00 至晚上 9:00。如需了解您所选择门店的确切营业时间，请点击""查找门店""。
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",视情况,用户询问特定门店营业时间时转人工。,已确认
